Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-24_01.mat	"vaa"	280.000	500.000	183.592	183.592	230.405	230.341	185.252	181.351	177.399	177.091	175.802	176.327	174.316	626.281	852.099	651.499	461.556	570.501	600.667	629.334	664.620	667.868	613.832	537.689	1230.441	1992.122	1733.345	869.194	1017.196	1110.058	1128.196	1125.197	1165.449	1111.546	1015.930	2802.044	3182.719	2979.856	2679.482	2773.574	2854.518	2666.684	2677.645	2787.054	2754.794	2635.464	
VS-24_01.mat	"pananitaat"	500.000	1300.000	205.531	169.863	232.010	215.292	217.927	226.854	233.270	227.964	172.137	163.150	169.059	538.975	581.402	701.564	435.452	305.044	391.206	344.091	515.363	699.506	695.638	718.593	1463.227	1063.988	1515.745	1122.837	1294.796	1644.793	1948.429	1844.494	1464.733	1324.663	1402.085	2859.919	2847.067	2892.144	2725.703	2739.723	2644.053	2688.735	2783.966	3172.191	3138.633	2962.451	
VS-24_01.mat	"uum"	1300.000	1510.000	165.288	165.288	174.376	169.907	169.468	168.063	164.845	159.909	156.940	159.002	159.002	336.533	447.541	456.383	371.528	342.366	321.570	290.561	266.561	275.262	311.234	281.243	1398.564	1100.793	934.533	887.179	1050.022	1020.623	992.803	1880.747	1968.250	1912.141	2190.181	2825.712	2732.352	2849.295	2919.128	2681.170	2814.541	2742.656	2674.032	2767.989	2881.267	3186.183	
VS-24_01.mat	"tupithxah"	1510.000	2910.000	192.915	205.514	221.513	212.810	194.763	181.141	189.793	173.642	209.424	170.302	166.892	653.436	600.190	572.046	813.016	753.327	582.094	528.393	563.052	685.258	467.381	966.866	1625.466	1811.557	1854.379	1908.522	1682.298	1299.145	1478.915	1521.166	1526.447	1221.053	1940.461	2891.160	3027.986	2951.733	2922.902	2942.966	2849.302	2504.707	2893.626	2869.319	2713.894	3225.428	
VS-24_01.mat	"pananusaanva"	3370.000	5020.000	165.461	182.842	170.469	172.726	186.616	172.090	177.289	177.289	72.079	77.123	183.562	588.568	682.655	340.652	361.403	616.739	342.447	846.025	1152.739	666.979	559.842	315.858	1464.176	1537.214	943.207	1199.648	1589.771	945.777	2245.329	2712.161	1347.025	1164.786	959.070	2935.968	2910.063	2738.136	2764.709	2964.289	2758.845	2980.731	3294.311	3048.236	3070.878	2828.947	
VS-24_01.mat	"koovura"	5100.000	6050.000	126.316	219.604	171.493	159.629	159.242	129.091	44.113	77.251	172.924	124.562	61.766	413.039	750.743	418.397	365.590	339.379	330.825	343.338	319.563	363.790	428.988	465.861	931.809	1377.507	821.101	745.369	730.789	647.344	850.457	687.793	1064.084	1144.502	1240.780	2621.047	2820.587	2544.640	2595.285	2613.118	2673.407	2916.903	2531.357	2477.486	2428.861	2606.976	
VS-24_01.mat	"vura"	6050.000	6350.000	122.661	208.077	181.750	181.750	181.750	140.362	117.883	62.025	59.147	59.147	59.147	452.308	369.862	352.709	353.723	335.862	330.029	310.824	290.208	826.584	557.010	775.416	1199.095	1062.491	1029.250	781.166	1118.923	779.075	864.800	1613.202	1939.197	1225.425	1513.583	2762.691	2620.247	2547.209	2597.387	2795.128	2543.261	2652.196	2970.892	3112.757	2825.831	2924.777	
VS-24_01.mat	"sil"	0.000	280.000	0	0	0	0	0	0	0	0	0	0	0	859.043	641.453	1142.050	654.115	477.210	1092.664	1292.948	804.113	807.213	648.995	833.204	1956.780	1524.930	2070.098	2025.721	1642.392	2291.757	2510.001	1696.825	1849.964	1819.079	1775.121	3103.267	2816.135	3089.503	3189.201	2895.106	3277.670	3651.165	2990.065	3079.866	2865.865	2932.449	
VS-24_01.mat	"V"	280.000	350.000	222.018	222.018	222.018	222.018	222.018	222.018	228.510	238.061	253.666	253.666	186.037	653.353	975.379	864.730	734.183	668.111	1001.864	268.341	337.227	443.197	526.705	553.018	1504.626	2076.135	2036.061	1910.139	1652.670	2238.896	1474.353	862.982	849.819	890.589	928.150	2942.368	3262.016	3175.413	3142.597	2787.377	3545.323	2616.885	2528.794	2597.640	2817.654	2795.648	
VS-24_01.mat	"AA1"	350.000	500.000	178.008	185.190	182.892	179.298	177.167	177.288	176.665	175.556	175.916	176.525	173.527	613.109	571.641	593.002	610.713	631.422	660.276	670.473	666.999	624.888	585.042	521.479	1099.605	1023.111	1100.028	1124.139	1126.457	1133.677	1129.036	1169.994	1141.432	1049.331	1007.226	2735.525	2751.078	2937.829	2732.439	2672.954	2653.778	2710.442	2812.095	2750.693	2725.340	2613.587	
