Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
VS-24_01.mat	"vaa"	280.000	500.000	183.592	230.405	201.137	179.388	176.441	175.288	626.281	752.460	515.193	615.052	666.132	575.517	1230.441	1865.515	943.540	1118.914	1145.591	1064.154	2802.044	3084.138	2724.402	2762.512	2733.146	2694.680	
VS-24_01.mat	"pananitaat"	500.000	1300.000	205.531	211.744	216.610	229.664	185.695	164.306	538.975	641.605	370.711	367.160	607.461	707.149	1463.227	1291.430	1208.968	1795.133	1655.352	1364.308	2859.919	2869.085	2732.432	2666.616	2978.581	3050.772	
VS-24_01.mat	"uum"	1300.000	1510.000	165.288	174.376	169.697	166.444	158.434	159.002	336.533	451.179	357.032	306.092	272.191	295.785	1398.564	1017.785	970.054	1005.425	1919.963	2048.434	2825.712	2783.046	2802.335	2776.911	2718.615	3033.502	
VS-24_01.mat	"tupithxah"	1510.000	2910.000	192.915	212.371	208.269	189.271	191.110	169.701	653.436	586.615	781.384	554.995	622.948	718.966	1625.466	1834.470	1797.127	1388.065	1521.788	1581.944	2891.160	2989.964	2935.364	2676.458	2879.450	2970.682	
VS-24_01.mat	"pananusaanva"	3370.000	5020.000	165.461	175.357	179.193	173.917	72.079	122.360	588.568	512.187	489.481	594.995	909.179	438.169	1464.176	1240.296	1393.831	1597.987	2027.294	1061.634	2935.968	2824.267	2865.175	2870.272	3171.913	2950.158	
VS-24_01.mat	"koovura"	5100.000	6050.000	126.316	180.088	159.437	86.772	124.864	97.989	413.039	585.473	352.501	337.288	341.674	447.148	931.809	1100.405	738.178	749.217	875.969	1192.446	2621.047	2683.188	2604.099	2795.200	2504.254	2517.666	
VS-24_01.mat	"vura"	6050.000	6350.000	122.661	186.669	186.669	132.422	61.467	61.467	452.308	362.289	344.552	320.380	563.747	666.653	1199.095	1044.826	952.530	823.082	1785.313	1372.166	2762.691	2584.585	2698.594	2597.282	3047.833	2873.313	
VS-24_01.mat	"sil"	0.000	280.000	0	0	0	0	0	0	859.043	1095.292	570.640	1185.579	806.116	740.455	1956.780	2018.965	1837.968	2391.089	1778.328	1786.593	3103.267	3063.271	3043.322	3448.101	3042.734	2894.713	
VS-24_01.mat	"V"	280.000	350.000	222.018	222.018	222.018	228.510	242.964	186.037	653.353	918.353	700.178	661.276	390.865	539.728	1504.626	2058.213	1783.471	1866.324	858.042	909.207	2942.368	3218.856	2960.659	3115.866	2566.175	2804.498	
VS-24_01.mat	"AA1"	350.000	500.000	178.008	184.017	178.258	176.974	175.750	175.021	613.109	582.399	620.998	665.285	646.113	553.173	1099.605	1060.467	1125.113	1132.063	1155.065	1028.442	2735.525	2844.213	2701.416	2680.495	2782.703	2670.008	
VS-24_01.mat	"P"	500.000	620.000	169.863	169.863	169.863	169.863	169.863	169.863	657.556	481.195	656.418	587.900	701.002	872.554	1320.191	1057.394	1099.586	1037.438	1442.463	1972.057	2891.667	2940.678	2802.184	2781.484	3044.332	2888.666	
VS-24_01.mat	"AH0"	620.000	680.000	225.560	261.160	240.994	222.442	216.842	215.273	611.457	562.147	593.590	610.286	646.345	647.017	1225.795	1099.003	1187.701	1285.155	1293.405	1268.927	2789.850	2751.138	2844.155	2854.330	2706.065	2783.971	
VS-24_01.mat	"N"	680.000	870.000	218.614	214.962	216.088	216.606	220.763	224.621	329.337	393.027	308.289	308.152	299.021	335.779	1266.955	1033.507	1174.546	1277.839	1341.359	1505.622	2699.613	2695.072	2757.295	2747.638	2676.179	2620.311	
VS-24_01.mat	"AH0"	870.000	910.000	232.173	230.516	231.926	232.582	232.922	233.040	470.169	497.322	514.031	519.839	465.996	362.239	1985.920	1900.665	1933.710	2003.808	2032.865	2059.546	2682.959	2698.562	2698.622	2694.977	2641.453	2677.494	
VS-24_01.mat	"N"	910.000	950.000	233.581	233.286	232.975	232.447	231.649	237.097	297.099	307.851	297.531	302.110	293.730	284.486	2009.930	2049.799	2055.252	2144.486	1901.705	1902.213	2609.066	2735.932	2661.018	2514.861	2506.808	2612.731	
VS-24_01.mat	"IH0"	950.000	1000.000	232.857	233.128	231.818	231.818	231.818	231.818	388.760	334.361	431.683	414.250	368.657	397.720	1857.610	1929.366	1896.571	1679.732	1747.505	2020.125	2750.603	2817.766	2839.434	2758.979	2628.832	2710.448	
VS-24_01.mat	"T"	1000.000	1050.000	227.964	227.964	227.964	227.271	229.047	229.047	558.455	432.303	319.034	754.406	813.408	514.857	1897.328	2150.085	1789.588	2077.767	1965.320	1540.661	2825.701	2860.777	2717.333	3100.116	2872.595	2634.836	
VS-24_01.mat	"AA1"	1050.000	1180.000	171.842	171.842	177.255	170.466	170.576	171.472	692.633	614.949	704.289	722.311	710.563	713.475	1431.103	1521.425	1494.716	1438.571	1360.808	1340.499	3104.128	2976.149	3284.235	3141.008	3082.227	3052.891	
VS-24_01.mat	"T"	1180.000	1300.000	159.594	160.985	153.490	168.885	168.885	168.885	704.737	646.069	718.756	706.785	691.638	761.523	1370.240	1252.311	1333.552	1411.127	1385.270	1470.461	3053.311	3101.052	3318.549	3250.421	3114.275	2502.527	
VS-24_01.mat	"UW1"	1300.000	1390.000	170.686	170.686	175.513	171.255	169.176	169.325	399.142	441.822	470.682	399.679	350.418	334.773	995.053	1114.421	964.977	887.029	966.317	1039.584	2783.942	2651.075	2938.427	2902.463	2797.519	2670.999	
VS-24_01.mat	"M"	1390.000	1510.000	161.586	167.109	162.345	157.593	158.363	158.363	289.376	310.284	292.674	252.060	306.934	285.539	1698.712	1037.388	1441.937	2018.523	1823.978	2169.494	2856.529	2860.988	2637.180	2792.889	2824.975	3155.659	
VS-24_01.mat	"T"	1510.000	1580.593	0	0	0	0	0	0	861.922	231.035	967.492	971.403	1070.671	1086.785	2198.543	1971.459	2273.868	2224.922	2254.698	2270.102	3254.868	3105.824	3460.142	3081.906	3174.635	3420.985	
VS-24_01.mat	"UH0"	1580.593	1611.609	224.438	237.885	235.844	225.446	217.835	209.797	283.346	301.609	314.463	296.868	271.840	242.647	1012.492	1215.799	1047.965	970.746	926.219	907.178	2540.800	2552.196	2516.914	2548.397	2540.808	2540.834	
VS-24_01.mat	"P"	1611.609	1744.693	192.081	188.625	187.016	187.016	187.016	235.557	579.418	238.289	614.091	809.103	592.926	664.366	1951.743	1566.458	2111.682	2467.206	2117.339	1554.877	3147.036	2960.447	3264.026	3372.989	3253.453	2923.921	
VS-24_01.mat	"IH0"	1744.693	1800.643	218.728	237.492	220.837	213.594	212.093	210.002	357.316	318.072	394.871	404.046	358.937	318.632	1488.028	1144.130	1371.651	1621.044	1645.209	1650.954	2395.758	2379.748	2367.245	2423.307	2431.550	2379.219	
