Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
VS-24_01.mat	"upi"	1580.593	1800.643	212.140	237.439	223.950	208.818	190.628	184.339	186.766	186.766	186.766	186.766	186.766	186.766	186.766	186.766	186.766	236.246	237.132	219.421	213.379	211.956	209.905	482.165	307.363	290.520	243.615	238.999	231.693	583.168	491.360	766.831	747.044	871.162	849.886	245.029	924.270	679.040	347.595	324.733	399.006	402.162	352.605	318.412	1704.740	1143.341	959.204	912.545	989.059	2233.811	2248.292	1827.915	2353.511	2468.163	2492.244	2287.359	1857.364	2281.365	1336.118	1249.822	1157.643	1397.734	1635.659	1636.482	1656.150	2871.523	2536.288	2545.558	2537.683	2663.044	3348.027	3091.739	3162.757	3622.781	3287.040	3373.222	3342.051	3030.263	3456.846	2854.960	2635.202	2376.137	2367.324	2431.698	2422.015	2379.663	
VS-24_01.mat	"UH0"	1580.593	1611.609	224.438	237.411	237.322	237.241	238.449	238.412	237.599	236.770	233.298	227.923	227.003	224.519	220.851	220.025	219.120	216.657	215.154	213.841	210.661	207.453	205.952	283.346	284.368	300.423	307.076	311.991	315.756	316.678	315.548	312.100	305.387	299.181	292.600	286.190	280.062	273.977	267.795	261.466	254.727	244.976	237.295	230.710	1012.492	1268.742	1244.813	1211.815	1167.421	1115.772	1064.654	1024.393	1002.492	985.011	974.914	964.045	952.202	939.818	928.099	918.540	910.680	905.290	902.242	904.342	912.440	2540.800	2578.488	2566.433	2549.713	2528.243	2509.878	2507.734	2515.499	2527.097	2539.982	2547.444	2553.410	2557.782	2555.498	2546.142	2532.263	2523.273	2527.553	2542.659	2552.200	2550.040	
VS-24_01.mat	"P"	1611.609	1744.693	192.081	196.793	188.236	183.929	185.525	187.016	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	187.997	235.557	579.418	228.785	244.285	231.912	247.949	656.851	535.596	499.151	752.888	784.038	735.264	794.497	922.650	1178.835	189.980	266.863	549.415	1101.678	655.105	571.970	270.759	1951.743	927.693	1016.982	2331.933	2076.224	2329.230	1693.602	2072.474	2327.652	2413.668	2476.401	2511.082	2471.489	2487.189	1850.885	1819.271	2189.288	2184.917	1345.686	1284.040	1273.792	3147.036	2548.781	2722.234	3411.468	3209.494	3091.322	2980.623	3300.540	3670.679	3500.156	3283.740	3124.003	3561.561	3644.833	2745.494	3034.437	3446.294	3386.728	2879.130	2776.425	2616.878	
VS-24_01.mat	"IH0"	1744.693	1800.643	218.728	236.794	241.047	239.734	233.067	227.201	220.904	218.256	215.974	214.407	213.525	213.192	212.997	212.583	212.265	211.892	211.442	211.081	210.596	209.871	208.463	357.316	291.983	301.376	321.051	347.026	374.351	392.914	403.947	410.065	410.136	406.457	402.490	397.086	385.574	367.385	345.333	327.469	316.006	312.979	317.716	325.829	1488.028	1078.620	1108.651	1161.179	1203.853	1259.781	1326.905	1402.180	1482.727	1549.113	1608.048	1655.197	1686.763	1688.946	1660.713	1621.017	1593.626	1595.004	1610.412	1619.219	1752.926	2395.758	2394.369	2371.934	2376.019	2377.387	2370.764	2365.690	2363.814	2366.730	2379.774	2408.738	2443.200	2468.156	2466.672	2442.347	2416.412	2388.002	2357.851	2366.013	2412.566	2386.311	
VS-24_02.mat	"upi"	1752.142	2031.145	163.812	155.678	150.270	145.794	141.894	148.804	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	202.020	203.548	180.298	172.642	582.330	367.402	353.708	298.228	240.401	348.528	359.507	438.195	994.161	651.181	372.694	793.456	1009.203	1058.524	896.088	1166.244	918.570	469.348	313.062	374.550	307.551	1778.501	1063.915	1029.320	1035.987	1234.850	1208.533	1258.350	1506.073	2372.374	2221.510	2040.766	2251.032	2355.659	2455.511	2362.190	2554.683	2090.434	1765.835	1482.273	1681.942	1764.290	2956.276	2726.620	2672.625	2729.170	2978.020	2781.042	2705.960	2846.883	3441.619	3217.285	3512.778	3181.221	3234.930	3542.876	3370.883	3261.806	3022.176	2716.106	2372.859	2432.426	2531.293	
VS-24_02.mat	"UH0"	1752.142	1793.756	150.644	157.313	156.853	156.654	156.227	155.291	153.933	152.060	151.617	151.188	151.340	150.934	150.118	147.988	146.638	146.328	146.490	147.150	146.482	144.582	143.231	339.693	363.301	367.135	374.446	378.061	371.557	359.098	353.793	357.732	364.279	365.364	360.157	350.765	340.249	330.460	320.713	310.924	301.990	295.271	284.773	262.929	1043.213	1077.175	1066.206	1058.218	1057.872	1061.146	1062.529	1058.422	1046.426	1033.874	1025.461	1019.615	1017.412	1018.883	1020.674	1021.203	1021.933	1024.394	1030.971	1045.116	1075.356	2709.353	2744.601	2733.846	2723.792	2721.224	2724.387	2720.619	2704.354	2679.422	2656.479	2643.624	2643.904	2662.550	2696.290	2715.655	2705.377	2686.569	2676.849	2694.853	2747.958	2853.404	
VS-24_02.mat	"P"	1793.756	1986.253	149.007	143.102	141.930	152.847	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	151.844	197.139	694.233	210.253	308.455	363.879	361.658	333.306	595.169	994.033	949.365	363.031	382.013	569.843	1104.283	994.453	800.871	1150.093	846.835	1148.867	1217.322	667.718	535.534	1970.611	1202.841	1264.016	1197.138	1245.526	1276.643	1782.186	2314.551	2500.680	2011.639	2021.242	2154.238	2337.311	2363.730	2317.831	2446.097	2313.082	2573.846	2451.725	1834.193	1846.770	3129.589	3057.586	2829.281	2748.640	2705.142	2692.504	3030.721	3361.186	3665.064	3056.518	3475.594	3191.444	3220.532	3209.096	3531.663	3417.898	3347.081	3218.646	3360.230	2754.438	2801.231	
VS-24_02.mat	"IH0"	1986.253	2031.145	186.692	201.222	209.464	209.869	208.694	205.266	201.045	196.223	189.477	185.084	181.355	179.170	178.197	177.085	175.947	174.987	173.779	172.655	172.224	170.834	169.991	324.499	242.983	277.259	294.273	302.172	309.726	324.145	341.408	352.580	360.633	369.815	379.008	384.900	387.392	378.792	360.383	343.546	324.448	294.977	262.146	236.744	1642.566	1640.975	1556.339	1465.550	1424.823	1426.653	1463.715	1511.096	1563.633	1625.627	1673.559	1698.404	1713.996	1723.671	1729.826	1743.445	1768.271	1791.021	1784.988	1762.825	1752.167	2450.443	2528.235	2475.996	2423.149	2386.639	2358.438	2332.688	2313.208	2307.884	2321.863	2357.841	2403.467	2464.561	2540.352	2596.061	2586.861	2543.659	2499.771	2483.138	2503.188	2535.705	
VS-24_03.mat	"upi"	341.208	540.293	187.413	203.269	193.344	188.431	184.217	182.286	182.286	182.286	182.286	182.286	182.286	182.286	182.286	182.286	221.921	216.384	187.752	180.198	174.590	168.691	164.890	830.936	424.497	197.917	193.477	877.470	1489.165	1328.935	1249.662	1318.191	1323.646	1561.931	1431.447	1214.573	1331.486	374.883	367.019	384.444	381.619	376.436	373.474	389.740	2102.050	1965.823	1703.977	1962.226	2472.711	2250.876	2373.155	2352.504	2373.978	2341.027	2498.951	2867.921	2334.350	2504.395	1581.882	1508.681	1721.345	1781.446	1836.295	1796.804	1758.519	3010.731	3119.677	2772.622	3001.433	3475.406	3488.569	3581.797	3501.072	3486.064	3372.617	3447.979	3577.011	3361.634	3796.721	2593.567	2225.076	2265.749	2325.647	2324.890	2247.649	2215.900	
VS-24_03.mat	"UH0"	341.208	376.095	193.141	204.039	204.256	204.651	204.018	203.558	198.805	196.052	194.620	193.128	191.691	190.819	190.131	189.323	188.688	188.339	188.038	187.247	186.011	185.304	184.635	263.274	1005.082	175.246	209.623	211.017	208.687	205.271	202.654	200.289	197.435	194.945	193.396	192.331	191.647	192.062	193.021	194.401	196.213	196.195	192.176	169.653	1883.253	2608.674	1655.000	1719.445	1737.746	1743.458	1722.040	1688.138	1664.263	1655.629	1685.366	1743.599	1851.033	2006.835	2066.906	2030.342	1952.689	1876.176	1857.720	1871.183	1899.617	2999.002	3415.627	3142.406	3148.670	3112.653	2933.141	2721.991	2669.547	2705.610	2779.558	2838.200	2858.636	2858.271	2879.280	2986.964	3086.388	3111.933	3079.987	3053.917	3075.485	3196.171	
