Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxpF2,V2_maxpF2_tpt,V2_minpF2,V2_minpF2_tpt,V2_pF2diff,timepoint,pF2_means,V1,C,V2,V1_qual,V2_qual
VS-24_01.mat,upi,1,V1,,31.016000000000076,31.016000000000076,UH0,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,T,P,31.016000000000076,133.08400000000006,55.94999999999982,1752.9260000000004,20,1078.62,1,674.3060000000005,1,1268.742,u,p,i,u,i
VS-24_01.mat,upi,1,C,,133.08400000000006,133.08400000000006,P,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,UH0,IH0,31.016000000000076,133.08400000000006,55.94999999999982,1752.9260000000004,20,1078.62,1,674.3060000000005,1,927.693,u,p,i,u,i
VS-24_01.mat,upi,1,V2,,55.94999999999982,55.94999999999982,IH0,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,P,TH,31.016000000000076,133.08400000000006,55.94999999999982,1752.9260000000004,20,1078.62,1,674.3060000000005,1,1078.62,u,p,i,u,i
VS-24_02.mat,upi,2,V1,,41.61400000000003,41.61400000000003,UH0,upithxah,pananitaat vura koovura upithxah,AH0,P,41.61400000000003,192.49699999999984,44.892000000000046,1791.021,17,1424.823,4,366.19799999999987,1,1077.175,u,p,i,u,i
VS-24_02.mat,upi,2,C,,192.49699999999984,192.49699999999984,P,upithxah,pananitaat vura koovura upithxah,UH0,IH0,41.61400000000003,192.49699999999984,44.892000000000046,1791.021,17,1424.823,4,366.19799999999987,1,1202.841,u,p,i,u,i
VS-24_02.mat,upi,2,V2,,44.892000000000046,44.892000000000046,IH0,upithxah,pananitaat vura koovura upithxah,P,TH,41.61400000000003,192.49699999999984,44.892000000000046,1791.021,17,1424.823,4,366.19799999999987,1,1640.975,u,p,i,u,i
VS-24_03.mat,upi,3,V1,,34.887,34.887,UH0,tupithxah,tupithxah pakoovura pananusaanva koovura,T,P,34.887,104.56699999999996,59.63100000000003,1852.248,14,1414.4489999999996,1,437.79900000000043,1,2608.674,u,p,i,u,i
VS-24_03.mat,upi,3,C,,104.56699999999996,104.56699999999996,P,tupithxah,tupithxah pakoovura pananusaanva koovura,UH0,IH0,34.887,104.56699999999996,59.63100000000003,1852.248,14,1414.4489999999996,1,437.79900000000043,1,2974.663,u,p,i,u,i
VS-24_03.mat,upi,3,V2,,59.63100000000003,59.63100000000003,IH0,tupithxah,tupithxah pakoovura pananusaanva koovura,P,TH,34.887,104.56699999999996,59.63100000000003,1852.248,14,1414.4489999999996,1,437.79900000000043,1,1414.4489999999996,u,p,i,u,i
VS-24_05.mat,upi,4,V1,V1 voiceless,29.80599999999993,29.80599999999993,UH0,tupithxah,vaa kaan tupithxah,T,P,29.80599999999993,148.68600000000004,54.43099999999981,1842.899,18,1441.558,3,401.3409999999999,1,1961.974,u,p,i,u,i
VS-24_05.mat,upi,4,C,V1 voiceless,148.68600000000004,148.68600000000004,P,tupithxah,vaa kaan tupithxah,UH0,IH0,29.80599999999993,148.68600000000004,54.43099999999981,1842.899,18,1441.558,3,401.3409999999999,1,2209.14,u,p,i,u,i
VS-24_05.mat,upi,4,V2,V1 voiceless,54.43099999999981,54.43099999999981,IH0,tupithxah,vaa kaan tupithxah,P,TH,29.80599999999993,148.68600000000004,54.43099999999981,1842.899,18,1441.558,3,401.3409999999999,1,1511.619,u,p,i,u,i
VS-24_07.mat,iika,5,V1,,199.96900000000005,199.96900000000005,IY1,iikam,xas karu nuu aah nukyaati iikam,sp,K,199.96900000000005,117.48000000000047,68.90900000000056,2144.206,1,978.283,19,1165.9230000000002,1,2316.708,ii,k,a,i,a
VS-24_07.mat,iika,5,C,,117.48000000000047,117.48000000000047,K,iikam,xas karu nuu aah nukyaati iikam,IY1,AH0,199.96900000000005,117.48000000000047,68.90900000000056,2144.206,1,978.283,19,1165.9230000000002,1,2379.404,ii,k,a,i,a
