,Filename,seq,seq_id,part,issue,dur_mod,dur,Label,timepoint,pF1_means
0,VS-24_01.mat,upi,1,V1,,31.016000000000076,31.016000000000076,UH0,1,284.368
1,VS-24_01.mat,upi,1,C,,133.08400000000006,133.08400000000006,P,1,228.785
2,VS-24_01.mat,upi,1,V2,,55.94999999999982,55.94999999999982,IH0,1,291.983
3,VS-24_02.mat,upi,2,V1,,41.61400000000003,41.61400000000003,UH0,1,363.301
4,VS-24_02.mat,upi,2,C,,192.49699999999984,192.49699999999984,P,1,210.253
5,VS-24_02.mat,upi,2,V2,,44.892000000000046,44.892000000000046,IH0,1,242.983
6,VS-24_03.mat,upi,3,V1,,34.887,34.887,UH0,1,1005.082
7,VS-24_03.mat,upi,3,C,,104.56699999999996,104.56699999999996,P,1,1449.65
8,VS-24_03.mat,upi,3,V2,,59.63100000000003,59.63100000000003,IH0,1,346.436
9,VS-24_05.mat,upi,4,V1,V1 voiceless,29.80599999999993,29.80599999999993,UH0,1,769.9110000000002
10,VS-24_05.mat,upi,4,C,V1 voiceless,148.68600000000004,148.68600000000004,P,1,1385.446
11,VS-24_05.mat,upi,4,V2,V1 voiceless,54.43099999999981,54.43099999999981,IH0,1,267.913
12,VS-24_07.mat,iika,5,V1,,199.96900000000005,199.96900000000005,IY1,1,343.522
13,VS-24_07.mat,iika,5,C,,117.48000000000047,117.48000000000047,K,1,294.643
14,VS-24_07.mat,iika,5,V2,,68.90900000000056,68.90900000000056,AH0,1,363.169
15,VS-33_13.mat,iika,6,V1,,212.366,212.366,IY1,1,335.32199999999995
16,VS-33_13.mat,iika,6,C,,150.32300000000004,150.32300000000004,K,1,270.119
17,VS-33_13.mat,iika,6,V2,,76.79600000000005,76.79600000000005,AH0,1,363.274
18,VS-34a_02.mat,iika,7,V1,,210.907,210.907,IY1,1,442.796
19,VS-34a_02.mat,iika,7,C,,110.399,110.399,K,1,283.576
20,VS-34a_02.mat,iika,7,V2,,83.88999999999999,83.88999999999999,AH0,1,390.139
21,VS-34b_07.mat,uxi,8,V1,V1 absent,0.0,16.552999999999887,UH0,1,477.424
22,VS-34b_07.mat,uxi,8,C,V1 absent,188.567,188.567,HH,1,761.163
23,VS-34b_07.mat,uxi,8,V2,V1 absent,120.36300000000028,120.36300000000028,IH0,1,358.362
24,VS-35a_42.mat,iika,9,V1,,334.256,334.256,IY1,1,286.129
25,VS-35a_42.mat,iika,9,C,,194.5010000000001,194.5010000000001,K,1,257.634
26,VS-35a_42.mat,iika,9,V2,,151.70399999999995,151.70399999999995,AH0,1,303.576
27,VS-35a_48.mat,ikuu,10,V1,,120.211,120.211,IH0,1,341.165
28,VS-35a_48.mat,ikuu,10,C,,143.7550000000001,143.7550000000001,K,1,323.285
29,VS-35a_48.mat,ikuu,10,V2,,171.51899999999978,171.51899999999978,UW1,1,331.281
30,VS-35b_14.mat,uxi,11,V1,,60.54299999999967,60.54299999999967,UH0,1,743.7539999999998
31,VS-35b_14.mat,uxi,11,C,,86.88599999999997,86.88599999999997,HH,1,378.62
32,VS-35b_14.mat,uxi,11,V2,,102.029,102.029,IH0,1,394.125
33,VS-35b_15.mat,uxi,12,V1,V1 absent,0.0,20.01700000000028,UH0,1,950.944
34,VS-35b_15.mat,uxi,12,C,V1 absent,171.856,171.856,HH,1,552.013
35,VS-35b_15.mat,uxi,12,V2,V1 absent,73.51599999999985,73.51599999999985,IH0,1,306.948
36,VS-35b_16.mat,uxi,13,V1,V1 absent?,0.0,9.105999999999996,UH0,1,846.558
37,VS-35b_16.mat,uxi,13,C,V1 absent?,91.95000000000003,91.95000000000003,HH,1,886.3660000000001
38,VS-35b_16.mat,uxi,13,V2,V1 absent?,60.38699999999994,60.38699999999994,IH0,1,302.038
39,VS-35b_30.mat,uufi,14,V1,,82.0709999999999,82.0709999999999,UW1,1,372.654
40,VS-35b_30.mat,uufi,14,C,,182.0810000000001,182.0810000000001,F,1,292.2920000000001
41,VS-35b_30.mat,uufi,14,V2,,79.36799999999994,79.36799999999994,IH0,1,273.685
