,audio,transcription,transcription_mfa,speaker
299,karuk-2010-10-25-sd-vs-1_40,ta nithitiv papusihich iikam.,ta nithitiv papusihich iikam,VS
333,karuk-2010-10-25-sd-vs-2_11,"Medford nivaarameesh, vaa kaan pananikustaan ukrii.",Medford nivaarameesh vaa kaan pananikustaan ukrii,VS
341,karuk-2010-10-25-sd-vs-2_19,papuufich iinaak tuvoonfuruk.,papuufich iinaak tuvoonfuruk,VS
348,karuk-2010-10-25-sd-vs-2_26,kaam papuufich ta nimah.,kaam papuufich ta nimah,VS
354,karuk-2010-10-25-sd-vs-2_33,yuum puufich ta nimah.,yuum puufich ta nimah,VS
356,karuk-2010-10-25-sd-vs-2_35,ithyaruk ta nimah papuufich.,ithyaruk ta nimah papuufich,VS
374,karuk-2010-09-13-ag-vs-2_06,panani'akah vura tupihniichha.,pananiqakah vura tupihniichha,VS
375,karuk-2010-09-13-ag-vs-2_07,panani'akah vura uum tupihniichha.,pananiqakah vura uum tupihniichha,VS
400,karuk-2011-12-21-vs-1_02,puxich ta neekvurishrih.,puxich ta neekvurishrih,VS
402,karuk-2011-12-21-vs-1_04,ta neekvurishrih puxich panipakuriihvutih.,ta neekvurishrih puxich panipakuriihvutih,VS
403,karuk-2011-12-21-vs-1_05,puxich ip neekvurishrihat mah’iit payeem uum yav nipmahoonkoonatih.,puxich ip neekvurishrihat mahiit payeem uum yav nipmahoonkoonatih,VS
416,karuk-2011-12-21-vs-2_11,naa vura ta naxuriha puxich.,naa vura ta naxuriha puxich,VS
424,karuk-2011-12-21-vs-3_03,naa vura puxich kaarim ta nipmahoonkoon.,naa vura puxich kaarim ta nipmahoonkoon,VS
425,karuk-2011-12-21-vs-3_04,pusihich ip iikam uvaaram.,pusihich ip iikam uvaaram,VS
426,karuk-2011-12-21-vs-3_05,papusihich iikam tu'uum.,papusihich iikam tuquum,VS
427,karuk-2011-12-21-vs-3_06,puyav nipmahoonkoonatih papusihich iikam tuvaaram.,puyav nipmahoonkoonatih papusihich iikam tuvaaram,VS
434,karuk-2011-12-21-vs-3_13,vúra puxich ta neexviipha.,vu1ra puxich ta neexviipha,VS
436,karuk-2011-12-21-vs-3_15,vúra puxich ta nafurathfip.,vu1ra puxich ta nafurathfip,VS
442,karuk-2011-12-21-vs-3_21,uum puxich ta neemchax.,uum puxich ta neemchax,VS
444,karuk-2011-12-21-vs-3_23,iikam uum athiik.,iikam uum athiik,VS
453,karuk-2011-12-21-vs-3_32,iim ta nupitap.,iim ta nupitap,VS
454,karuk-2011-12-21-vs-3_33,iim punupitaptihara.,iim punupitaptihara,VS
455,karuk-2011-12-21-vs-3_34,uum puxich ishaha ta neexra.,uum puxich ishaha ta neexra,VS
460,karuk-2011-12-21-vs-4_01,ipit ip iikam puuvish uthaaniv.,ipit ip iikam puuvish uthaaniv,VS
461,karuk-2011-12-21-vs-4_02,ipit ip puuvish iikam uthaaniv.,ipit ip puuvish iikam uthaaniv,VS
462,karuk-2011-12-21-vs-4_03,ipit papaah iikam.,ipit papaah iikam,VS
463,karuk-2011-12-21-vs-4_04,ipit iikam paah uthaaniv.,ipit iikam paah uthaaniv,VS
464,karuk-2011-12-21-vs-4_05,ipit paweasel iikam ukrii.,ipit paweasel iikam ukrii,VS
465,karuk-2011-12-21-vs-4_06,ipit pa'aanxus iikam ukrii.,ipit paqaanxus iikam ukrii,VS
468,karuk-2011-12-21-vs-4_09,faatva iikam ukrii.,faatva iikam ukrii,VS
470,karuk-2011-12-21-vs-4_11,faatva iikam ta nithitiv.,faatva iikam ta nithitiv,VS
471,karuk-2011-12-21-vs-4_12,ipit iikam faatva ukrii.,ipit iikam faatva ukrii,VS
472,karuk-2011-12-21-vs-4_13,iikam pa'ipaha.,iikam paqipaha,VS
473,karuk-2011-12-21-vs-4_14,iikam papaah.,iikam papaah,VS
474,karuk-2011-12-21-vs-4_15,faat iikam?,faat iikam,VS
475,karuk-2011-12-21-vs-4_16,faat iikam tee mah?,faat iikam tee mah,VS
477,karuk-2011-12-21-vs-4_18,faatva ta nimaahti iikam.,faatva ta nimaahti iikam,VS
484,karuk-2011-12-21-vs-5_03,pamu'aan uum iikam.,pamuqaan uum iikam,VS
486,karuk-2011-12-21-vs-5_05,pamu'akah uum iikam.,pamuqakah uum iikam,VS
501,karuk-2011-12-21-vs-5_20,ipit ip iikam pachishiih ukrii.,ipit ip iikam pachishiih ukrii,VS
502,karuk-2011-12-21-vs-5_21,chishiih iikam ukrii.,chishiih iikam ukrii,VS
503,karuk-2011-12-21-vs-5_22,chishiih iikam uthaaniv.,chishiih iikam uthaaniv,VS
504,karuk-2011-12-21-vs-5_23,pananichishiih iikam uthaaniv.,pananichishiih iikam uthaaniv,VS
505,karuk-2011-12-21-vs-5_24,iikam ukrii.,iikam ukrii,VS
513,karuk-2011-12-21-vs-5_32,pananiputiruh uum iikam.,pananiputiruh uum iikam,VS
514,karuk-2011-12-21-vs-5_34,pananichishii uum iikam.,pananichishii uum iikam,VS
541,karuk-2011-12-21-vs-5_61,pa'ikxurikar iyuunkuriheesh pay'ook.,paqikxurikar iyuunkuriheesh payqook,VS
569,karuk-2011-12-21-vs-7_01,vaa kaan papaah iikam ipit.,vaa kaan papaah iikam ipit,VS
571,karuk-2011-12-21-vs-7_03,ipit iikam uum pa'achkuun ukrii.,ipit iikam uum paqachkuun ukrii,VS
572,karuk-2011-12-21-vs-7_04,ipit ip iikam pa'achnaat ukrii.,ipit ip iikam paqachnaat ukrii,VS
573,karuk-2011-12-21-vs-7_05,ipit ip iikam ukrii pa'achnaat.,ipit ip iikam ukrii paqachnaat,VS
574,karuk-2011-12-21-vs-7_06,ipit ip iikam pa'akviish ukreet.,ipit ip iikam paqakviish ukreet,VS
575,karuk-2011-12-21-vs-7_07,ipit ip iikam pa'akviish ukrii.,ipit ip iikam paqakviish ukrii,VS
577,karuk-2011-12-21-vs-7_09,ta neekshupih.,ta neekshupih,VS
642,karuk-2011-12-21-vs-8_52,faat ta nikuupha?,faat ta nikuupha,VS
647,karuk-2011-12-21-vs-8_57,ipit iikam pahaknah ook kaan ukrii.,ipit iikam pahaknah ook kaan ukrii,VS
648,karuk-2011-12-21-vs-8_58,ook kaan iikam ukrii pahaknah.,ook kaan iikam ukrii pahaknah,VS
649,karuk-2011-12-21-vs-8_59,iikam ukrii.,iikam ukrii,VS
651,karuk-2011-12-21-vs-8_61,iikam pa'ipit nimah mi'aramah.,iikam paqipit nimah miqaramah,VS
652,karuk-2011-12-21-vs-8_62,iikam vura taay pa'eeth.,iikam vura taay paqeeth,VS
653,karuk-2011-12-21-vs-8_63,ipit pa'eeth iikam kaan ukrii.,ipit paqeeth iikam kaan ukrii,VS
654,karuk-2011-12-21-vs-8_64,ipit pa'eeth iikam ukrii.,ipit paqeeth iikam ukrii,VS
675,karuk-2011-08-16-vs-2_21,naa kahtishraam mupiimich kaan panikrii.,naa kahtishraam mupiimich kaan panikrii,VS
713,karuk-2010-07-23-ag-vs-1_13,tee mah hum papuufich?,tee mah hum papuufich,VS
714,karuk-2010-07-23-ag-vs-1_14,chak'iimich papuufich tu'ahoo.,chakqiimich papuufich tuqahoo,VS
715,karuk-2010-07-23-ag-vs-1_15,papuufich tukuniihka.,papuufich tukuniihka,VS
716,karuk-2010-07-23-ag-vs-1_16,imaan papuufich ukuniihkeesh.,imaan papuufich ukuniihkeesh,VS
717,karuk-2010-07-23-ag-vs-1_17,imaan papuufich nikuniihkeesh.,imaan papuufich nikuniihkeesh,VS
735,karuk-2010-07-23-ag-vs-3_05,faat ikupaveenatih?,faat ikupaveenatih,VS
754,karuk-2010-07-23-ag-vs-4_09,payuraschishiih nikuuntakoo.,payuraschishiih nikuuntakoo,VS
755,karuk-2010-07-23-ag-vs-4_10,payuraschishiih ikuuntakoo hum?,payuraschishiih ikuuntakoo hum,VS
757,karuk-2010-07-23-ag-vs-4_12,pachuufish chaka'iimich too kxip.,pachuufish chakaqiimich too kxip,VS
771,karuk-2010-07-23-ag-vs-4_26,yufishhi pa'aama.,yufishhi paqaama,VS
780,karuk-2010-07-23-ag-vs-4_35,naa yufish nivishtaantih.,naa yufish nivishtaantih,VS
781,karuk-2010-07-23-ag-vs-4_36,chimi papufich'iish numnisheesh.,chimi papufichqiish numnisheesh,VS
782,karuk-2010-07-23-ag-vs-4_37,iimkun papufich'iish kumnisheesh?,iimkun papufichqiish kumnisheesh,VS
783,karuk-2010-07-23-ag-vs-4_38,haa koovura numnisheesh papufich'iish.,haa koovura numnisheesh papufichqiish,VS
784,karuk-2010-07-23-ag-vs-4_39,puuhara papufich'iish pukinimnisheeshara.,puuhara papufichqiish pukinimnisheeshara,VS
785,karuk-2010-07-23-ag-vs-4_40,papufich'iish um ivishtaantih?,papufichqiish um ivishtaantih,VS
786,karuk-2010-07-23-ag-vs-4_41,uum papufich'iish uvishtaantih.,uum papufichqiish uvishtaantih,VS
787,karuk-2010-07-23-ag-vs-4_42,ipit numniishti papufich'iish.,ipit numniishti papufichqiish,VS
788,karuk-2010-07-23-ag-vs-4_43,yufishhi papufich'iish.,yufishhi papufichqiish,VS
789,karuk-2010-07-23-ag-vs-4_44,naa ip niyufishhat papufich'iish.,naa ip niyufishhat papufichqiish,VS
814,karuk-2013-01-27-vs-1_C_03,vura uum puxich nu'itapeesh pa'ararahih.,vura uum puxich nuqitapeesh paqararahih,VS
818,karuk-2013-01-27-vs-1_C_07,pay uum pananikafih'asip ipshuunkinich.,pay uum pananikafihqasip ipshuunkinich,VS
864,frog-6c,Pamufithih kich ta numah.,Pamufithih kich ta numah,VS
