audio,transcription,transcription_mfa,speaker,matched_words,sequences,issues
karuk-2011-01-30-vs-1_29,xas vura av kunish vaa puyavhara peepihniichha.,xas vura av kunish vaa puyavhara peepihniichha,VS,puyavhara,pu,none
karuk-2010-10-25-sd-vs-1_19,naa pusihich nithiinatih.,naa pusihich nithiinatih,VS,pusihich,pu,none
karuk-2010-10-25-sd-vs-1_33,pusihich ipit tu'avat.,pusihich ipit tuqavat,VS,pusihich,pu,none
karuk-2010-10-25-sd-vs-1_44,pufaat papusihich.,pufaat papusihich,VS,pufaat,pu,none
karuk-2010-10-25-sd-vs-1_58,hooy uum pa'ikxaramkunish pusihich?,hooy uum paqikxaramkunish pusihich,VS,pusihich,pu,none
karuk-2010-10-25-sd-vs-2_13,too xuriha.,too xuriha,VS,xuriha,xu,none
karuk-2010-10-25-sd-vs-2_15,uum too xuriha,uum too xuriha,VS,xuriha,xu,none
karuk-2011-01-29-vs-1_01,xuun ip ni'av.,xuun ip niqav,VS,xuun,xuu,none
karuk-2011-01-29-vs-1_02,xuun ip ni'avat.,xuun ip niqavat,VS,xuun,xuu,none
karuk-2011-12-21-vs-2_03,puyav nipmahoonkoonatihara.,puyav nipmahoonkoonatihara,VS,puyav,pu,none
karuk-2011-12-21-vs-2_08,puyav paneepmahoonkoonatihara.,puyav paneepmahoonkoonatihara,VS,puyav,pu,none
karuk-2011-12-21-vs-2_12,naa vura punaxurihitihara.,naa vura punaxurihitihara,VS,punaxurihitihara,pu,none
karuk-2011-12-21-vs-2_13,mah’iit ip naxurihitihat payeem uum punaxurihitihara.,mahiit ip naxurihitihat payeem uum punaxurihitihara,VS,punaxurihitihara,pu,none
karuk-2011-12-21-vs-2_16,payeem uum punaxurihitihara.,payeem uum punaxurihitihara,VS,punaxurihitihara,pu,none
karuk-2011-12-21-vs-3_04,pusihich ip iikam uvaaram.,pusihich ip iikam uvaaram,VS,pusihich,pu,none
karuk-2011-12-21-vs-3_06,puyav nipmahoonkoonatih papusihich iikam tuvaaram.,puyav nipmahoonkoonatih papusihich iikam tuvaaram,VS,puyav,pu,none
karuk-2011-12-21-vs-3_31,naa vura puna'aapunmutihara.,naa vura punaqaapunmutihara,VS,punaqaapunmutihara,pu,none
karuk-2011-12-21-vs-3_33,iim punupitaptihara.,iim punupitaptihara,VS,punupitaptihara,pu,none
karuk-2011-12-21-vs-3_36,naa puneexratihara.,naa puneexratihara,VS,puneexratihara,pu,none
karuk-2011-12-21-vs-3_38,puuhara naa puneefchaktihara.,puuhara naa puneefchaktihara,VS,"puuhara,puneefchaktihara","puu,pu",none
karuk-2011-12-21-vs-4_01,ipit ip iikam puuvish uthaaniv.,ipit ip iikam puuvish uthaaniv,VS,puuvish,puu,none
karuk-2011-12-21-vs-4_02,ipit ip puuvish iikam uthaaniv.,ipit ip puuvish iikam uthaaniv,VS,puuvish,puu,none
karuk-2011-12-21-vs-5_11,pusihich'avah tu'av pa'akvaat.,pusihichqavah tuqav paqakvaat,VS,pusihichqavah,pu,none
karuk-2011-12-21-vs-5_57,vaa kaan puuvish tharishrih.,vaa kaan puuvish tharishrih,VS,puuvish,puu,none
karuk-2011-12-21-vs-6_17,naa puneexraratihara.,naa puneexraratihara,VS,puneexraratihara,pu,none
karuk-2011-12-21-vs-6_18,payupsitanich puxraratih.,payupsitanich puxraratih,VS,puxraratih,pu,none
karuk-2011-12-21-vs-7_15,panaa neepsheekti pay puuvish.,panaa neepsheekti pay puuvish,VS,puuvish,puu,none
karuk-2011-12-21-vs-8_07,iim puta nathitivara.,iim puta nathitivara,VS,puta,pu,none
karuk-2011-12-21-vs-8_08,iim punuthitiimtihara.,iim punuthitiimtihara,VS,punuthitiimtihara,pu,none
karuk-2011-12-21-vs-8_10,iim puneemshakaantihara.,iim puneemshakaantihara,VS,puneemshakaantihara,pu,none
karuk-2011-12-21-vs-8_12,iim punu'afishrihara.,iim punuqafishrihara,VS,punuqafishrihara,pu,none
karuk-2011-12-21-vs-8_16,iim naa punupareeshara.,iim naa punupareeshara,VS,punupareeshara,pu,none
karuk-2011-12-21-vs-8_17,iim punupareeshara payeem.,iim punupareeshara payeem,VS,punupareeshara,pu,none
karuk-2011-12-21-vs-8_18,naa vura puna'aytihara.,naa vura punaqaytihara,VS,punaqaytihara,pu,none
karuk-2011-12-21-vs-8_24,naa puneeheeratihara.,naa puneeheeratihara,VS,puneeheeratihara,pu,none
karuk-2011-12-21-vs-8_31,naa puneekfuuytihara.,naa puneekfuuytihara,VS,puneekfuuytihara,pu,none
karuk-2011-12-21-vs-8_33,naa punapakuriihvutihara.,naa punapakuriihvutihara,VS,punapakuriihvutihara,pu,sounds like panu?
karuk-2011-12-21-vs-8_36,punamaahtihara.,punamaahtihara,VS,punamaahtihara,pu,none
