Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-24_04.mat	"pu"	10120.000	10266.425	179.488	179.488	179.488	179.488	179.488	179.488	175.372	174.262	176.959	182.703	186.087	789.973	1217.168	1290.653	1365.055	1081.306	512.050	393.045	429.976	487.976	526.996	562.901	1488.169	2275.390	2203.757	2494.607	2201.192	1534.364	726.410	734.325	812.243	902.766	935.282	2973.694	3402.867	3332.193	3418.633	3275.442	2378.413	2604.234	2679.002	2772.714	2834.376	2971.113	
VS-24_04.mat	"pu"	10460.000	10630.000	203.476	179.826	168.940	168.940	168.940	168.940	168.940	168.940	228.451	230.122	206.672	639.816	648.453	723.320	716.988	674.626	754.947	704.421	736.927	552.848	383.906	513.874	1156.207	1123.708	1101.973	1089.944	1102.601	1104.685	1174.015	1514.892	1303.869	965.529	1105.747	2817.856	2904.138	2810.605	2666.309	2891.283	3045.614	2942.606	3043.816	2641.481	2645.520	2598.894	
VS-24_04.mat	"P"	10120.000	10196.266	0	0	0	0	0	0	0	0	0	0	0	1067.295	1181.078	1257.093	1257.974	1339.159	1387.788	1345.290	1400.552	698.322	530.230	380.932	2089.520	2221.560	2346.369	2161.444	2290.842	2592.324	2431.419	2572.452	1838.342	1616.854	1018.447	3135.651	3385.059	3419.197	3326.466	3319.435	3300.630	3614.203	3714.949	2664.049	2398.299	2332.063	
VS-24_04.mat	"UH0"	10196.266	10266.425	179.488	175.768	174.687	174.405	174.868	176.096	178.834	181.394	184.411	185.867	186.323	483.274	382.755	409.214	421.399	452.379	482.944	503.232	519.253	537.154	554.231	571.478	825.365	728.290	713.478	722.734	763.639	791.878	851.411	889.597	920.846	934.369	936.321	2789.854	2625.633	2728.440	2627.652	2769.278	2809.279	2714.332	2757.886	2930.700	2947.607	2993.051	
VS-24_04.mat	"P"	10460.000	10600.000	192.664	181.342	170.264	170.264	170.264	170.264	170.264	170.264	170.264	170.264	236.678	675.931	629.428	714.079	749.264	675.717	691.357	755.405	731.740	648.327	817.543	366.476	1177.277	1118.083	1128.110	1078.947	1091.775	1112.817	1112.440	1177.714	1106.574	1806.784	979.820	2862.669	2842.143	2939.368	2657.576	2743.215	2897.201	3086.079	2936.584	2972.874	2855.718	2670.741	
VS-24_04.mat	"UH0"	10600.000	10630.000	215.895	245.868	231.363	221.912	214.409	210.660	208.873	207.540	206.174	205.062	203.487	465.964	359.231	390.974	416.711	433.948	443.420	448.971	454.064	474.224	593.466	637.076	1052.976	944.911	979.222	998.956	1001.403	999.133	1003.424	1018.847	1063.489	1188.759	1304.892	2611.137	2711.992	2658.963	2594.077	2546.809	2524.013	2526.144	2545.766	2587.794	2658.506	2718.095	
VS-24_11.mat	"ki"	2500.000	2602.787	168.114	157.381	156.964	156.425	156.425	156.425	177.405	175.020	174.583	172.343	170.355	399.748	418.744	429.189	522.560	501.222	327.035	314.774	355.668	363.757	374.134	400.738	1850.926	1555.231	1505.551	1801.993	2077.767	2053.180	1990.447	1955.385	1945.895	1854.661	1811.900	2518.840	2553.961	2570.093	2563.575	2652.863	2584.441	2207.311	2315.326	2551.806	2572.373	2622.542	
VS-24_11.mat	"K"	2500.000	2553.746	157.109	156.789	157.879	157.070	156.548	156.425	156.425	156.425	156.425	156.425	156.425	428.752	413.259	424.514	423.242	434.658	501.937	553.807	507.000	456.623	316.164	274.613	1803.179	1603.501	1500.287	1481.415	1534.247	1685.206	1990.595	2075.345	2080.250	2051.454	2010.011	2563.492	2537.014	2572.749	2560.329	2580.598	2578.504	2549.469	2652.027	2682.182	2651.138	2342.501	
VS-24_11.mat	"IH0"	2553.746	2602.787	173.378	176.317	176.951	173.770	175.476	175.141	173.277	172.516	171.983	170.624	169.926	365.748	317.394	346.668	354.679	359.478	363.157	365.285	368.561	380.761	399.218	403.130	1906.115	1992.178	1970.553	1963.833	1943.489	1956.021	1928.700	1858.050	1839.906	1829.453	1794.247	2463.544	2199.011	2186.829	2250.661	2456.060	2552.728	2561.128	2564.432	2583.336	2593.102	2648.180	
VS-24_12.mat	"ki"	1280.000	1402.326	119.498	154.122	155.363	154.368	155.841	138.145	91.633	90.822	89.566	88.603	88.526	358.437	339.908	386.811	363.390	365.076	301.714	354.729	367.184	371.679	374.303	359.080	1931.367	1707.897	1727.036	1781.794	2066.197	2068.365	2049.181	2035.137	2006.684	1971.406	1910.752	2561.027	2897.156	3039.610	2809.024	2778.866	2387.432	2138.290	2176.862	2326.384	2468.443	2591.213	
VS-24_12.mat	"K"	1280.000	1333.471	154.843	152.807	154.931	156.142	155.167	154.439	154.315	154.504	155.215	156.853	154.606	357.205	325.244	346.650	378.515	392.931	381.421	363.120	355.280	371.632	372.437	290.449	1841.142	1683.783	1709.976	1793.495	1757.109	1613.233	1764.233	1898.026	2029.906	2108.438	2078.475	2857.206	2782.285	2967.096	3146.755	3064.720	2801.093	2788.003	2840.757	2833.776	2733.699	2621.787	
VS-24_12.mat	"IH0"	1333.471	1402.326	89.854	89.854	91.732	91.487	90.976	90.450	89.600	88.931	88.483	88.485	88.544	358.272	306.114	345.518	362.417	364.291	371.871	370.396	373.830	374.121	369.706	352.003	2002.857	2067.027	2051.541	2047.994	2048.254	2014.629	2006.188	2000.322	1956.236	1933.878	1894.658	2331.531	2276.820	2214.679	2061.915	2135.382	2254.550	2306.707	2429.615	2476.631	2559.023	2608.479	
VS-33_39.mat	"xu"	3188.443	3500.723	166.935	166.935	166.935	166.935	166.935	166.935	182.132	172.525	159.628	160.012	166.955	572.014	1168.500	714.635	893.268	629.899	1011.073	603.112	186.297	194.740	142.449	160.668	1758.710	2946.233	1690.138	1852.263	1759.033	2705.338	1962.784	1235.584	1166.182	1120.169	1101.417	3157.355	3844.410	3341.258	3442.395	3089.903	3555.217	3281.323	2713.976	2798.629	2784.001	2701.564	
VS-33_39.mat	"HH"	3188.443	3370.474	182.792	182.792	182.792	182.792	182.792	182.792	182.792	182.792	182.792	182.792	182.792	858.263	1270.948	869.484	810.568	765.793	872.373	587.124	770.899	1007.698	1001.327	572.655	2187.027	3166.657	2282.979	2051.482	1336.445	1911.460	1741.159	2051.695	2732.613	2619.222	1928.567	3447.940	3894.391	3573.092	3544.225	3191.213	3467.304	3170.946	3184.724	3437.547	3610.903	3377.178	
VS-33_39.mat	"UH0"	3370.474	3500.723	165.579	179.887	173.376	165.609	160.278	158.387	158.520	160.115	162.610	165.386	170.161	172.336	195.464	182.230	186.264	186.778	204.921	178.629	119.813	115.553	164.991	186.891	1161.472	1233.842	1191.411	1288.770	1132.984	1182.497	1196.023	1086.641	1003.625	989.715	1285.055	2751.569	2762.729	2711.755	2700.105	2762.856	2862.006	2765.609	2801.759	2739.660	2683.525	2725.706	
VS-34a_01.mat	"pu"	590.000	791.353	194.770	155.215	166.565	166.565	166.565	166.565	166.565	236.532	219.455	208.996	201.963	484.338	339.438	395.018	403.980	641.500	427.686	875.058	576.477	381.512	384.293	389.192	1316.697	1149.621	1256.048	1559.331	2074.574	1393.041	1652.600	1408.573	821.587	834.312	920.940	2708.379	2823.865	2475.926	2787.668	3146.784	2732.877	2721.047	2914.765	2513.274	2472.798	2433.123	
VS-34a_01.mat	"P"	590.000	728.527	173.286	155.441	158.779	170.869	170.869	170.869	170.869	170.869	170.869	170.869	233.878	528.610	302.909	424.236	369.402	428.543	610.004	565.315	419.126	688.191	1019.782	493.664	1519.476	1165.839	1073.967	1418.262	1479.946	2224.374	1802.876	1354.021	1860.678	1578.514	1320.912	2811.453	2854.251	2649.165	2423.186	2788.684	3281.669	2893.458	2684.754	2969.897	2761.550	2820.013	
VS-34a_01.mat	"UH0"	728.527	791.353	211.096	238.196	217.106	212.716	211.306	209.950	208.623	206.785	203.933	201.458	199.052	383.592	361.131	387.759	384.281	382.293	382.243	385.050	386.749	382.180	391.545	396.783	857.530	803.757	826.347	823.760	825.641	835.455	837.126	832.910	828.643	831.210	1106.071	2477.917	2602.358	2510.212	2451.469	2518.212	2507.946	2462.020	2412.062	2390.570	2431.976	2483.479	
VS-34a_02.mat	"pu"	620.000	783.588	176.475	143.992	149.959	149.003	152.007	152.007	224.324	197.991	192.407	191.038	190.550	434.500	225.003	281.335	407.448	807.757	657.375	399.408	405.842	396.729	391.539	378.965	1206.049	1480.282	1429.827	1603.460	1637.291	1507.508	854.234	894.240	911.788	888.689	862.196	2535.925	2711.081	2607.240	2362.384	2474.539	2604.158	2575.312	2554.165	2528.757	2480.841	2452.688	
VS-34a_02.mat	"P"	620.000	708.454	147.794	143.454	144.891	150.074	151.674	148.828	149.248	149.248	149.248	149.248	149.248	469.159	219.167	232.389	280.362	300.764	327.385	681.698	824.172	732.473	676.311	380.711	1480.672	1485.852	1466.633	1419.703	1423.512	1606.637	1692.556	1654.262	1426.260	1619.531	977.709	2564.402	2753.276	2639.003	2631.632	2566.723	2278.984	2453.495	2482.161	2371.990	2744.258	2690.903	
VS-34a_02.mat	"UH0"	708.454	783.588	196.242	229.563	206.808	196.486	194.121	192.326	191.375	190.921	191.082	190.941	190.059	393.611	394.719	409.223	405.398	401.827	396.609	393.942	391.812	390.002	385.458	371.258	883.582	847.550	871.781	897.286	916.560	912.903	903.416	893.143	873.774	847.669	873.788	2504.438	2516.531	2500.233	2548.994	2608.067	2522.056	2482.169	2472.966	2494.721	2491.464	2411.456	
VS-34a_03.mat	"pu"	940.000	1189.833	95.585	71.028	70.170	68.184	64.374	61.971	68.288	64.471	189.883	187.662	192.663	572.381	476.261	442.770	427.947	592.120	574.369	829.527	1196.848	510.814	380.489	379.460	1588.607	1050.703	1002.720	1137.510	2398.988	2342.492	2507.270	2449.655	1388.644	845.754	894.803	2909.239	2606.979	2721.422	2793.652	3555.337	3428.841	3518.741	3161.851	2792.834	2350.964	2257.675	
VS-34a_03.mat	"P"	940.000	1131.601	66.956	70.999	70.888	69.433	67.204	63.391	64.330	62.933	69.129	63.786	70.495	631.902	482.592	444.695	433.490	455.971	571.943	609.279	471.401	1051.690	1078.586	702.631	1805.761	1059.525	1017.790	997.939	1305.158	2371.862	2287.441	2423.919	2637.552	2309.033	1732.557	3086.593	2556.278	2849.046	2584.999	2904.511	3516.546	3447.329	3513.931	3577.779	3036.723	2954.329	
VS-34a_03.mat	"UH0"	1131.601	1189.833	190.115	190.115	188.785	184.943	186.136	188.761	191.984	194.533	194.456	192.810	189.447	372.834	315.825	369.406	390.025	376.366	377.814	376.584	378.171	379.811	379.826	381.837	865.449	831.896	832.328	840.804	856.064	848.155	847.496	863.314	888.127	902.030	933.719	2323.702	2489.971	2363.272	2386.546	2337.144	2307.625	2383.347	2404.088	2328.081	2127.048	2141.994	
VS-34a_04.mat	"pu"	2720.000	2840.945	193.716	193.716	193.716	193.716	193.716	214.764	208.802	196.316	189.808	187.129	181.979	669.537	476.618	1782.168	1365.386	812.101	597.730	303.049	373.779	392.040	346.074	332.639	1475.541	1930.619	2485.414	2312.118	1731.771	1837.280	912.327	816.848	866.524	914.107	1045.495	2704.195	2965.468	3596.504	3313.093	2630.640	2928.438	2601.517	2324.134	2261.774	2181.991	2328.676	
VS-34a_04.mat	"P"	2720.000	2779.749	214.764	214.764	214.764	214.764	214.764	214.764	214.764	214.764	214.764	214.764	214.764	989.543	401.385	535.956	1831.733	1737.308	1613.507	1135.577	865.279	760.517	903.300	232.323	2050.078	1907.116	1929.692	2625.261	2315.392	2649.106	1999.289	1759.468	1703.990	1985.394	1673.168	3075.265	2876.718	3024.164	3775.238	3397.652	3586.960	3098.123	2643.896	2617.634	2911.401	2902.629	
VS-34a_04.mat	"UH0"	2779.749	2840.945	193.035	208.651	209.216	201.493	193.738	190.731	189.264	187.990	186.395	184.066	179.906	348.207	291.816	307.823	350.180	386.851	399.675	388.670	362.058	332.139	323.256	341.049	913.589	1015.997	806.432	807.680	820.266	852.237	874.204	891.968	933.960	966.356	1116.592	2345.878	2766.387	2455.086	2388.433	2291.833	2224.285	2281.753	2239.310	2119.951	2341.784	2318.572	
VS-34a_06.mat	"ki"	2070.000	2160.000	0	0	0	0	0	0	0	0	0	0	0	864.797	1361.321	1119.886	692.542	959.313	809.936	751.625	751.046	696.554	682.560	756.731	1583.045	2363.527	2309.121	2191.576	1903.318	1226.427	1197.518	1180.002	1158.612	1122.828	1113.341	3138.877	3461.868	3506.832	3267.058	3188.700	2842.836	2978.191	3048.945	2962.092	3000.462	3083.204	
VS-34a_06.mat	"pu"	6943.284	7121.703	200.189	200.189	200.189	200.189	200.189	263.606	232.082	191.510	192.829	190.501	182.394	678.670	1057.127	1123.304	1055.452	1015.906	713.400	329.116	383.755	393.058	393.729	336.264	1498.886	2319.246	2196.703	2480.157	2037.857	1638.493	991.554	816.626	808.269	858.755	895.974	2836.229	3433.304	3307.046	3539.212	3249.087	2698.271	2508.846	2468.383	2436.850	2429.052	2327.445	
VS-34a_06.mat	"K"	2070.000	2130.000	0	0	0	0	0	0	0	0	0	0	0	939.197	1361.770	1361.458	1007.140	627.431	882.453	991.079	823.452	770.804	746.755	766.559	1803.096	2393.437	2236.315	2357.010	2163.815	2242.422	1762.476	1232.553	1209.446	1193.743	1182.201	3197.876	3465.426	3415.465	3550.939	3254.265	3299.434	3140.306	2835.938	2886.262	3006.536	3056.836	
VS-34a_06.mat	"IH0"	2130.000	2160.000	0	0	0	0	0	0	0	0	0	0	0	714.645	723.256	700.515	699.705	690.669	676.728	672.887	694.082	733.376	765.701	774.741	1137.025	1176.033	1166.539	1158.225	1150.890	1142.019	1127.312	1100.994	1082.145	1110.012	1146.305	3020.591	3040.638	2974.650	2946.966	2958.165	2987.167	3009.581	3008.235	3030.690	3098.243	3126.586	
VS-34a_06.mat	"P"	6943.284	7042.373	243.376	243.376	243.376	243.376	243.376	243.376	243.376	243.376	243.376	263.606	237.861	922.142	1073.358	1041.313	910.701	1404.304	999.158	1000.531	1041.608	996.348	500.844	308.717	2023.231	2391.777	2226.445	2184.308	2315.597	2445.075	1965.347	2171.014	1952.259	1425.499	1111.919	3166.846	3584.485	3247.218	3167.778	3565.813	3522.132	3221.340	3301.784	3017.233	2480.488	2502.555	
VS-34a_06.mat	"UH0"	7042.373	7121.703	193.089	224.750	192.570	190.180	192.013	193.078	193.060	191.098	187.790	183.744	180.092	373.763	353.965	381.493	384.977	389.381	393.312	397.825	397.393	382.799	342.922	319.498	843.206	825.749	829.276	807.846	802.848	807.459	822.879	855.179	885.115	891.973	901.175	2424.440	2520.329	2467.243	2458.620	2488.059	2403.610	2427.610	2428.874	2432.394	2400.650	2226.604	
VS-34a_07.mat	"pu"	590.000	715.376	184.599	159.723	154.450	165.090	172.294	172.294	172.294	229.944	212.303	203.291	197.603	440.427	248.702	526.004	952.051	479.241	290.902	303.065	369.241	426.938	424.983	379.325	1292.384	1165.689	1742.165	1888.841	1579.200	1700.422	1261.696	909.449	879.146	889.194	901.120	2677.047	2716.564	3154.520	2997.804	2438.765	2565.584	2593.564	2580.292	2660.731	2629.224	2389.880	
VS-34a_07.mat	"ki"	2760.000	2990.000	164.572	164.572	164.572	164.572	164.572	210.442	192.534	186.994	144.737	88.628	88.628	561.624	747.179	992.855	945.216	858.443	324.645	373.887	376.621	357.190	291.051	321.232	1936.701	1790.256	2496.807	2464.355	1910.793	2051.982	2065.939	1270.821	1565.237	1866.290	1886.667	2991.057	3270.083	3739.096	3599.488	2591.309	2818.394	3112.057	2550.493	2405.995	2856.330	2958.274	
VS-34a_07.mat	"P"	590.000	670.783	163.877	161.120	156.482	153.673	161.982	168.705	172.822	174.341	174.341	174.341	229.033	457.693	237.409	267.692	587.946	1032.748	769.512	446.539	307.520	283.234	300.708	334.904	1507.749	1175.983	1095.765	1928.684	2118.902	1569.870	1564.116	1707.512	1626.554	1271.792	965.722	2731.508	2758.031	2694.248	3296.226	3385.094	2443.339	2458.244	2443.668	2690.031	2603.978	2478.910	
VS-34a_07.mat	"UH0"	670.783	715.376	208.610	233.293	224.487	213.988	209.140	205.975	203.651	201.732	199.522	197.652	196.151	407.257	383.648	415.262	427.108	428.738	429.024	426.345	422.271	411.645	381.882	353.090	891.266	900.460	890.184	876.068	877.113	886.949	889.899	889.213	891.207	896.927	912.509	2577.050	2678.724	2669.575	2660.535	2661.595	2650.993	2631.810	2620.875	2543.853	2363.907	2305.665	
