Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
VS-24_04.mat	"pu"	10120.000	10266.425	179.488	179.488	179.488	179.488	179.488	179.488	179.488	179.488	179.488	179.488	179.488	174.599	175.469	173.644	175.027	175.639	178.424	180.995	184.248	185.867	186.323	789.973	1177.243	1250.597	1251.861	1328.702	1377.783	1355.879	1373.942	858.565	624.232	391.957	382.969	404.091	416.833	442.409	476.967	501.009	516.839	535.832	554.231	571.478	1488.169	2204.411	2344.844	2157.314	2246.043	2543.349	2454.985	2517.768	1965.207	1748.726	1319.097	734.042	717.835	714.515	753.703	784.169	843.757	884.685	918.756	934.369	936.321	2973.694	3386.537	3411.957	3326.309	3335.503	3267.817	3599.228	3673.299	2974.816	2399.908	2362.070	2482.017	2758.998	2627.729	2724.409	2816.090	2725.575	2738.053	2917.802	2947.607	2993.051	
VS-24_04.mat	"pu"	10460.000	10630.000	203.476	183.359	176.111	168.940	168.940	168.940	168.940	168.940	168.940	168.940	168.940	168.940	168.940	168.940	168.940	168.940	228.451	240.387	218.823	208.501	204.632	639.816	582.673	725.094	704.046	742.632	747.956	684.188	655.912	695.299	741.771	768.746	764.987	632.318	660.228	812.240	754.400	308.018	349.219	423.820	451.112	577.961	1156.207	1103.186	1148.158	1128.457	1072.307	1088.204	1093.835	1095.673	1111.821	1127.887	1083.260	1219.871	1116.168	1103.806	1924.724	1512.837	1035.229	938.200	998.082	1012.444	1202.828	2817.856	2787.046	3028.979	2927.916	2669.161	2653.926	2678.361	2890.920	2898.044	2972.914	3145.525	2957.414	2918.907	3003.088	3071.649	2605.853	2672.101	2709.751	2574.457	2537.659	2664.478	
VS-24_04.mat	"P"	10120.000	10196.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067.295	1169.207	1192.583	1235.108	1274.826	1249.762	1257.181	1329.669	1349.894	1372.663	1400.294	1365.392	1320.415	1389.458	1418.178	708.022	686.061	635.721	423.143	374.536	388.512	2089.520	2150.012	2290.706	2374.355	2330.690	2164.390	2148.063	2233.416	2344.644	2561.404	2630.031	2453.183	2399.269	2548.439	2611.079	1744.164	1900.067	1689.351	1526.441	1297.256	786.680	3135.651	3408.984	3355.443	3416.083	3428.692	3340.306	3308.139	3344.677	3300.018	3165.029	3380.611	3614.027	3614.621	3682.741	3759.914	2840.775	2472.275	2381.171	2418.138	2337.825	2315.169	
VS-24_04.mat	"UH0"	10196.266	10266.425	179.488	174.599	175.768	175.903	172.830	173.676	175.547	174.899	174.752	175.749	176.494	178.193	179.732	180.611	182.389	183.997	185.016	185.704	186.133	186.375	186.225	483.274	374.975	393.045	406.679	412.946	416.845	426.927	445.158	462.300	476.932	491.215	500.006	507.489	515.631	524.039	533.252	542.382	550.845	558.758	567.179	577.075	825.365	730.872	725.108	716.455	709.346	713.436	734.522	757.701	772.289	780.004	806.190	841.494	865.213	882.138	899.406	916.211	927.384	933.279	936.003	935.937	936.618	2789.854	2536.453	2751.950	2772.555	2671.757	2610.218	2645.962	2739.204	2812.844	2823.684	2794.124	2726.862	2694.655	2722.856	2801.677	2915.230	2957.876	2944.960	2949.842	2978.538	3012.697	
VS-24_04.mat	"P"	10460.000	10600.000	192.664	183.766	179.003	170.535	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	168.094	226.330	236.678	675.931	560.911	698.779	726.781	698.578	754.398	746.816	700.726	647.833	672.055	710.081	746.570	763.238	799.708	666.745	636.917	661.849	832.801	813.024	410.331	314.221	1177.277	1094.966	1142.426	1146.831	1110.075	1063.945	1090.889	1099.458	1083.554	1111.753	1113.383	1130.169	1098.642	1235.328	1108.461	1115.964	1097.711	2028.748	1668.687	1033.096	929.000	2862.669	2772.384	2908.230	3117.957	2754.206	2656.179	2656.521	2651.842	2829.560	2924.930	2870.870	3003.167	3185.457	2984.843	2881.029	3005.785	2952.591	3094.728	2619.055	2619.199	2727.624	
VS-24_04.mat	"UH0"	10600.000	10630.000	215.895	248.879	239.332	232.668	229.263	223.455	217.518	215.037	213.018	211.040	209.895	209.217	208.339	207.641	207.289	206.455	205.428	205.203	204.836	203.594	203.132	465.964	353.684	370.368	386.179	400.813	413.256	423.956	431.966	438.212	442.382	445.616	448.191	450.564	452.902	456.080	464.968	488.153	571.998	648.673	648.668	618.454	1052.976	938.737	957.135	974.606	989.144	997.720	1002.127	1001.980	1000.350	999.016	999.055	1001.742	1006.412	1014.596	1026.477	1049.124	1087.951	1163.371	1242.932	1293.478	1329.325	2611.137	2718.810	2699.776	2670.321	2636.582	2603.512	2574.336	2552.255	2535.046	2525.100	2520.756	2523.965	2530.171	2540.412	2555.480	2577.825	2606.270	2645.423	2685.593	2713.231	2729.606	
VS-24_11.mat	"ki"	2500.000	2602.787	168.114	156.789	158.080	157.380	156.627	156.425	156.425	156.425	156.425	156.425	156.425	156.425	177.405	174.794	175.001	175.632	173.404	172.703	172.026	170.624	169.926	399.748	413.259	424.465	423.719	432.887	493.972	553.306	521.184	480.281	377.047	270.362	295.796	338.259	352.913	358.409	362.661	364.860	367.507	379.230	399.218	403.130	1850.926	1603.501	1505.314	1476.856	1528.007	1663.379	1933.360	2084.317	2068.510	2078.593	2025.772	1999.643	1981.267	1966.055	1945.320	1953.605	1940.600	1869.416	1840.241	1829.453	1794.247	2518.840	2537.014	2575.180	2559.589	2578.028	2585.268	2540.119	2633.461	2674.206	2676.615	2504.170	2218.408	2192.180	2210.119	2416.759	2543.241	2562.573	2561.410	2581.486	2593.102	2648.180	
VS-24_11.mat	"K"	2500.000	2553.746	157.109	156.311	157.189	158.063	157.758	157.126	157.112	156.610	156.436	156.425	156.425	156.425	156.425	156.425	156.425	156.425	156.425	156.425	156.425	156.425	156.425	428.752	410.697	416.626	423.720	425.740	423.961	422.677	427.579	444.035	477.313	526.512	558.323	549.932	520.181	492.920	478.641	444.164	340.343	274.227	265.936	282.338	1803.179	1628.237	1562.917	1519.119	1479.881	1471.786	1486.938	1518.573	1556.089	1626.620	1742.180	1936.302	2085.098	2086.985	2062.450	2068.365	2088.431	2072.754	2019.638	2024.438	2002.499	2563.492	2518.414	2566.847	2580.270	2565.983	2557.751	2561.666	2574.132	2589.998	2596.910	2562.703	2530.077	2570.061	2642.211	2664.666	2674.529	2688.336	2668.418	2629.671	2432.704	2233.966	
VS-24_11.mat	"IH0"	2553.746	2602.787	173.378	173.378	176.317	177.687	176.911	173.777	173.579	174.982	176.352	175.867	174.234	173.327	173.252	172.654	172.278	172.027	171.942	171.354	170.131	169.413	170.180	365.748	304.443	326.238	342.195	349.991	353.739	355.621	358.410	361.153	362.735	363.798	364.858	365.930	367.265	370.259	376.992	386.262	394.431	402.601	406.225	401.553	1906.115	1990.673	1994.585	1976.506	1965.379	1970.481	1959.185	1942.390	1943.771	1954.474	1959.363	1943.862	1907.465	1866.622	1843.280	1839.503	1840.530	1838.453	1824.225	1802.878	1787.950	2463.544	2202.903	2195.506	2193.579	2182.499	2202.206	2293.585	2424.563	2507.572	2546.201	2564.036	2563.400	2557.444	2560.314	2570.332	2580.563	2587.784	2590.873	2594.436	2614.565	2669.313	
VS-24_12.mat	"ki"	1280.000	1402.326	119.498	153.050	155.250	156.055	154.615	154.266	154.547	155.215	156.518	153.724	91.409	91.732	91.558	90.973	90.673	89.852	89.284	88.707	88.483	88.498	88.555	358.437	326.536	352.478	384.681	390.056	369.472	355.819	371.632	362.033	285.470	316.892	347.547	362.350	363.560	371.338	370.410	372.616	373.232	375.062	366.721	351.015	1931.367	1681.010	1728.566	1799.345	1664.886	1694.621	1886.376	2029.906	2107.151	2073.003	2064.709	2050.867	2047.582	2050.758	2018.122	2012.976	1999.434	1989.012	1951.482	1925.767	1893.613	2561.027	2800.281	2995.617	3187.914	2928.526	2785.224	2834.579	2833.776	2724.873	2522.590	2233.380	2209.103	2060.049	2115.353	2250.326	2260.846	2390.806	2443.711	2492.441	2569.252	2612.444	
