Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,issue
VS-24_04.mat,pu,1,P,C,puqaapunmutihara,vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine,sp,UH0,76.26599999999962,10120.0,10196.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.295,1169.2069999999999,1192.583,1235.108,1274.826,1249.762,1257.181,1329.6689999999999,1349.894,1372.6629999999998,1400.2939999999999,1365.392,1320.415,1389.4579999999999,1418.1779999999999,708.0219999999999,686.061,635.721,423.14300000000003,374.536,388.51199999999994,2089.52,2150.012,2290.706,2374.355,2330.69,2164.39,2148.063,2233.416,2344.644,2561.404,2630.031,2453.183,2399.269,2548.439,2611.0789999999997,1744.164,1900.067,1689.351,1526.441,1297.256,786.68,3135.651,3408.9840000000004,3355.4429999999998,3416.083,3428.692,3340.3059999999996,3308.139,3344.677,3300.018,3165.0290000000005,3380.611,3614.027,3614.6209999999996,3682.741,3759.914,2840.775,2472.275,2381.1710000000003,2418.138,2337.825,2315.169,76.26599999999962,none
VS-24_04.mat,pu,1,UH0,V,puqaapunmutihara,vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine,P,T,70.15899999999965,10196.266,10266.425,179.488,174.59900000000002,175.768,175.903,172.83,173.676,175.547,174.899,174.752,175.74900000000002,176.49400000000003,178.19299999999998,179.732,180.611,182.389,183.997,185.016,185.704,186.13299999999998,186.375,186.225,483.274,374.975,393.045,406.67900000000003,412.94599999999997,416.845,426.92699999999996,445.158,462.3,476.93199999999996,491.215,500.006,507.48900000000003,515.631,524.039,533.252,542.382,550.845,558.758,567.179,577.075,825.365,730.872,725.1080000000001,716.455,709.346,713.436,734.5219999999999,757.701,772.289,780.0039999999999,806.19,841.4939999999999,865.2130000000001,882.138,899.4060000000001,916.211,927.3839999999999,933.279,936.003,935.937,936.618,2789.8540000000003,2536.453,2751.95,2772.555,2671.757,2610.218,2645.962,2739.204,2812.844,2823.684,2794.1240000000003,2726.862,2694.655,2722.8559999999998,2801.677,2915.23,2957.8759999999997,2944.96,2949.842,2978.538,3012.697,70.15899999999965,none
VS-24_04.mat,pu,2,P,C,puqaapunmutihara,vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine,AA1,UH0,140.0,10460.0,10600.0,192.66400000000002,183.766,179.003,170.535,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,168.09400000000002,226.33,236.678,675.931,560.911,698.779,726.7810000000001,698.578,754.398,746.816,700.7260000000001,647.8330000000001,672.055,710.081,746.57,763.238,799.7080000000001,666.745,636.9169999999999,661.8489999999999,832.801,813.0239999999999,410.33099999999996,314.221,1177.277,1094.9660000000001,1142.4260000000002,1146.8310000000001,1110.075,1063.945,1090.889,1099.458,1083.5539999999999,1111.753,1113.383,1130.1689999999999,1098.642,1235.328,1108.461,1115.964,1097.711,2028.7479999999998,1668.6870000000001,1033.096,929.0,2862.6690000000003,2772.384,2908.23,3117.9570000000003,2754.2059999999997,2656.179,2656.5209999999997,2651.842,2829.56,2924.93,2870.87,3003.167,3185.4570000000003,2984.843,2881.0290000000005,3005.785,2952.591,3094.728,2619.055,2619.199,2727.6240000000003,140.0,none
VS-24_04.mat,pu,2,UH0,V,puqaapunmutihara,vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine,P,N,30.0,10600.0,10630.0,215.895,248.87900000000002,239.332,232.668,229.263,223.455,217.518,215.037,213.018,211.04,209.895,209.217,208.33900000000003,207.641,207.28900000000002,206.455,205.428,205.203,204.83599999999998,203.59400000000002,203.132,465.964,353.684,370.36800000000005,386.17900000000003,400.81300000000005,413.256,423.95599999999996,431.966,438.212,442.38199999999995,445.616,448.191,450.564,452.902,456.08,464.968,488.153,571.998,648.673,648.668,618.4540000000001,1052.976,938.737,957.135,974.6060000000001,989.1439999999999,997.72,1002.127,1001.98,1000.35,999.0160000000001,999.055,1001.742,1006.4119999999999,1014.596,1026.4769999999999,1049.124,1087.951,1163.371,1242.932,1293.478,1329.325,2611.137,2718.81,2699.776,2670.321,2636.5820000000003,2603.512,2574.3360000000002,2552.255,2535.0460000000003,2525.1,2520.756,2523.965,2530.1710000000003,2540.4120000000003,2555.48,2577.825,2606.27,2645.423,2685.593,2713.2309999999998,2729.6059999999998,30.0,none
VS-24_11.mat,ki,3,K,C,kich,vaa vura ip paqaapunmuti vaa vura kich vaa kumeekrii,AH0,IH0,53.746000000000095,2500.0,2553.746,157.109,156.311,157.189,158.063,157.75799999999998,157.126,157.112,156.61,156.436,156.425,156.425,156.425,156.425,156.425,156.425,156.425,156.425,156.425,156.425,156.425,156.425,428.75199999999995,410.69699999999995,416.626,423.72,425.74,423.961,422.67699999999996,427.579,444.035,477.31300000000005,526.512,558.323,549.932,520.181,492.92,478.64099999999996,444.164,340.343,274.22700000000003,265.936,282.33799999999997,1803.1789999999999,1628.237,1562.9170000000001,1519.119,1479.881,1471.786,1486.9379999999999,1518.5729999999999,1556.089,1626.62,1742.18,1936.3020000000001,2085.098,2086.985,2062.45,2068.365,2088.431,2072.754,2019.638,2024.4379999999999,2002.499,2563.492,2518.4139999999998,2566.847,2580.27,2565.9829999999997,2557.751,2561.666,2574.132,2589.998,2596.91,2562.703,2530.077,2570.061,2642.211,2664.6659999999997,2674.5290000000005,2688.336,2668.4179999999997,2629.671,2432.7039999999997,2233.966,53.746000000000095,none
VS-24_11.mat,ki,3,IH0,V,kich,vaa vura ip paqaapunmuti vaa vura kich vaa kumeekrii,K,CH,49.04100000000017,2553.746,2602.7870000000003,173.378,173.378,176.317,177.687,176.91099999999997,173.77700000000002,173.579,174.982,176.352,175.86700000000002,174.234,173.327,173.252,172.65400000000002,172.278,172.02700000000002,171.942,171.354,170.13099999999997,169.41299999999998,170.18,365.74800000000005,304.443,326.238,342.195,349.991,353.73900000000003,355.621,358.41,361.153,362.735,363.798,364.858,365.93,367.265,370.259,376.99199999999996,386.26199999999994,394.431,402.601,406.225,401.55300000000005,1906.115,1990.6729999999998,1994.585,1976.506,1965.379,1970.481,1959.185,1942.39,1943.771,1954.474,1959.3629999999998,1943.862,1907.465,1866.622,1843.28,1839.503,1840.53,1838.453,1824.225,1802.878,1787.95,2463.544,2202.903,2195.506,2193.5789999999997,2182.499,2202.206,2293.585,2424.563,2507.572,2546.201,2564.036,2563.4,2557.444,2560.314,2570.3320000000003,2580.563,2587.784,2590.873,2594.436,2614.565,2669.313,49.04100000000017,none
VS-24_12.mat,ki,4,K,C,kich,haa vaa vura kich iqaapunmuti vaa kumeekrii,AH0,IH0,53.471000000000004,1280.0,1333.471,154.843,152.392,153.519,154.355,155.60299999999998,155.88,156.244,155.476,154.45,154.641,154.32299999999998,154.045,154.505,154.656,154.494,154.825,155.571,156.489,157.12,154.606,153.334,357.205,323.115,328.48800000000006,337.39300000000003,355.583,371.315,383.485,393.01199999999994,393.534,386.68800000000005,376.207,367.20599999999996,360.26800000000003,355.20300000000003,354.944,362.82,380.14300000000003,391.473,362.89599999999996,296.425,277.986,1841.142,1699.172,1656.162,1677.515,1742.0479999999998,1782.496,1801.49,1796.3470000000002,1709.348,1592.628,1624.31,1711.351,1799.152,1880.471,1924.124,1990.075,2071.754,2105.864,2111.155,2088.376,2060.0570000000002,2857.2059999999997,2755.545,2817.36,2926.511,3012.4709999999995,3063.9359999999997,3196.836,3160.448,2928.0890000000004,2814.364,2786.441,2776.993,2793.566,2832.1690000000003,2854.815,2854.1890000000003,2815.745,2763.5209999999997,2713.428,2663.035,2571.597,53.471000000000004,none
VS-24_12.mat,ki,4,IH0,V,kich,haa vaa vura kich iqaapunmuti vaa kumeekrii,K,CH,68.85500000000002,1333.471,1402.326,89.854,89.854,89.854,91.68700000000001,91.834,91.71700000000001,91.23700000000001,90.979,90.988,90.73700000000001,90.23200000000001,89.751,89.48299999999999,89.12700000000001,88.792,88.506,88.46700000000001,88.495,88.476,88.47,88.61,358.272,294.832,321.305,340.125,352.82199999999995,361.755,363.689,362.509,366.269,371.54400000000004,372.374,369.702,370.653,374.233,373.74800000000005,372.269,375.397,374.767,365.041,355.056,348.3,2002.8570000000002,2070.981,2062.734,2052.324,2050.261,2047.045,2049.146,2053.196,2043.4820000000002,2016.993,2011.4589999999998,2016.851,1998.465,2002.241,2000.733,1962.036,1950.441,1948.981,1920.463,1895.079,1893.549,2331.531,2302.243,2225.9970000000003,2259.865,2164.471,2057.992,2064.532,2097.728,2182.194,2255.5229999999997,2257.44,2249.7729999999997,2347.011,2420.866,2437.43,2458.9829999999997,2489.5029999999997,2545.054,2576.034,2594.19,2626.768,68.85500000000002,none
VS-33_39.mat,xu,5,HH,C,xuntapan,ta nimah paquuxkunish xuntapan,sp,UH0,182.0310000000004,3188.4429999999998,3370.474,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,182.792,185.08700000000002,182.37400000000002,858.263,1267.396,1274.503,1207.496,564.64,1097.802,561.668,655.955,885.8789999999999,946.304,761.3380000000001,689.5219999999999,455.155,571.04,949.205,1036.087,985.1519999999999,968.105,1048.547,925.383,172.87900000000002,2187.027,3142.7529999999997,3200.2859999999996,3006.9390000000003,1627.567,2839.4570000000003,1361.2379999999998,1074.059,1568.308,2629.2909999999997,1126.115,1987.335,1409.067,1534.7910000000002,2471.71,2809.816,2662.2129999999997,2591.625,2655.926,2520.606,1259.609,3447.94,3853.6890000000003,3960.7070000000003,3983.678,3214.283,3963.8379999999997,3177.737,3070.278,3294.676,3795.083,3101.954,3484.7070000000003,2805.009,2738.5959999999995,3599.224,3235.801,3591.684,3705.567,3534.2729999999997,3934.362,2760.882,182.0310000000004,none
VS-33_39.mat,xu,5,UH0,V,xuntapan,ta nimah paquuxkunish xuntapan,HH,N,130.2489999999998,3370.474,3500.723,165.579,180.55,179.32299999999998,175.18200000000002,171.553,167.535,163.965,161.175,159.467,158.516,158.203,158.192,158.80700000000002,159.472,160.629,162.05,163.09,164.72299999999998,165.954,168.32,171.826,172.33599999999998,198.08599999999998,192.61900000000003,184.065,180.13,186.248,186.641,184.1,188.761,201.257,208.342,184.954,172.429,115.271,120.62100000000001,135.252,100.212,147.297,181.481,185.57,188.095,1161.472,1274.407,1187.0,1198.065,1184.787,1332.879,1263.42,1135.476,1129.367,1157.089,1204.566,1220.85,1178.803,1083.347,1087.964,1074.356,945.43,932.602,1036.8139999999999,1199.5339999999999,1358.349,2751.5690000000004,2786.9770000000003,2735.54,2745.8959999999997,2678.3720000000003,2681.9509999999996,2716.784,2733.244,2785.64,2909.094,2828.115,2764.792,2768.072,2793.993,2808.164,2794.093,2690.631,2671.48,2693.183,2708.71,2741.277,130.2489999999998,none
