Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
VS-24_04.mat	"pu"	10120.000	10266.425	179.488	179.488	179.488	175.372	175.692	184.307	789.973	1251.702	1220.496	451.987	459.893	544.310	1488.169	2240.223	2346.767	1129.021	774.629	918.097	2973.694	3368.136	3338.629	2502.327	2724.562	2898.876	
VS-24_04.mat	"pu"	10460.000	10630.000	203.476	177.355	177.355	177.355	228.451	218.627	639.816	684.315	697.379	727.309	637.500	449.071	1156.207	1111.737	1096.832	1144.468	1378.857	1036.692	2817.856	2845.525	2778.135	2998.911	2841.739	2625.011	
VS-24_04.mat	"P"	10120.000	10196.266	0	0	0	0	0	0	1067.295	1217.168	1298.078	1362.986	1004.288	465.858	2089.520	2275.390	2228.005	2503.936	2156.862	1324.419	3135.651	3402.867	3322.670	3459.220	3119.516	2364.593	
VS-24_04.mat	"UH0"	10196.266	10266.425	179.488	174.876	174.567	177.486	182.889	186.087	483.274	395.684	437.086	492.909	528.224	562.901	825.365	720.849	743.034	821.534	905.079	935.282	2789.854	2668.869	2699.532	2761.730	2843.884	2971.113	
VS-24_04.mat	"P"	10460.000	10600.000	192.664	177.355	177.355	177.355	177.355	236.678	675.931	669.372	711.775	723.158	692.452	586.884	1177.277	1122.122	1084.516	1112.293	1142.996	1409.765	2862.669	2885.237	2701.691	2996.429	2956.961	2770.978	
VS-24_04.mat	"UH0"	10600.000	10630.000	215.895	238.870	218.286	209.801	206.802	204.222	465.964	374.992	425.080	446.147	465.086	609.185	1052.976	961.871	999.825	1001.534	1042.535	1244.240	2611.137	2684.612	2571.110	2525.697	2567.487	2686.950	
VS-24_11.mat	"ki"	2500.000	2602.787	168.114	157.109	156.425	177.405	174.719	171.374	399.748	424.127	510.027	322.903	359.641	386.698	1850.926	1531.839	1932.425	2019.667	1950.987	1833.917	2518.840	2562.403	2610.162	2393.064	2429.944	2596.665	
VS-24_11.mat	"K"	2500.000	2553.746	157.109	157.322	156.836	156.425	156.425	156.425	428.752	419.249	429.510	523.890	483.735	296.252	1803.179	1548.139	1508.446	1826.987	2079.063	2031.398	2563.492	2554.311	2570.845	2567.369	2665.900	2475.793	
VS-24_11.mat	"IH0"	2553.746	2602.787	173.378	176.860	174.774	174.267	172.255	170.355	365.748	331.542	357.367	364.222	374.879	400.738	1906.115	1980.947	1953.139	1940.954	1849.834	1811.900	2463.544	2192.618	2363.566	2556.054	2573.787	2622.542	
VS-24_12.mat	"ki"	1280.000	1402.326	119.498	154.686	155.107	103.275	90.214	88.565	358.437	363.033	364.506	327.893	369.217	366.306	1931.367	1714.824	1917.803	2058.994	2021.880	1940.602	2561.027	2964.811	2791.997	2262.674	2248.393	2529.570	
VS-24_12.mat	"K"	1280.000	1333.471	154.843	153.953	155.588	154.418	154.936	155.810	357.205	337.275	385.364	373.155	364.735	331.997	1841.142	1701.594	1772.267	1683.555	1971.224	2092.127	2857.206	2883.778	3103.197	2796.447	2835.107	2676.963	
VS-24_12.mat	"IH0"	1333.471	1402.326	89.854	91.732	91.248	90.039	88.718	88.520	358.272	325.449	363.385	371.148	374.101	360.360	2002.857	2059.486	2047.940	2009.924	1978.280	1913.745	2331.531	2245.219	2100.226	2283.621	2453.551	2585.733	
VS-33_39.mat	"xu"	3188.443	3500.723	166.935	166.935	166.935	182.132	166.110	163.556	572.014	952.807	756.196	805.602	190.593	152.193	1758.710	2343.330	1786.131	2331.774	1200.399	1112.335	3157.355	3606.352	3253.460	3417.772	2756.924	2742.637	
VS-33_39.mat	"HH"	3188.443	3370.474	182.792	182.792	182.792	182.792	182.792	182.792	858.263	1070.466	796.095	736.116	885.155	781.801	2187.027	2727.524	1709.210	1843.469	2381.060	2266.020	3447.940	3734.143	3374.881	3322.091	3299.030	3488.336	
VS-33_39.mat	"UH0"	3370.474	3500.723	165.579	176.490	162.966	158.466	161.348	167.821	172.336	188.626	186.592	191.333	117.152	175.623	1161.472	1213.240	1212.752	1188.300	1043.250	1137.763	2751.569	2736.664	2731.680	2816.031	2768.056	2704.680	
VS-34a_01.mat	"pu"	590.000	791.353	194.770	160.530	160.530	160.530	224.091	205.455	484.338	364.896	529.945	654.539	482.055	386.746	1316.697	1208.818	1829.052	1521.307	1122.794	878.741	2708.379	2650.164	2977.703	2721.079	2716.386	2454.090	
VS-34a_01.mat	"P"	590.000	728.527	173.286	157.262	170.869	170.869	170.869	233.878	528.610	363.610	398.850	576.615	557.525	743.508	1519.476	1115.571	1449.905	2000.947	1613.969	1417.928	2811.453	2748.668	2604.738	3089.778	2827.593	2755.231	
VS-34a_01.mat	"UH0"	728.527	791.353	211.096	228.104	211.968	209.298	205.487	200.249	383.592	373.803	383.257	383.677	384.598	392.765	857.530	814.521	825.030	836.173	830.942	977.135	2477.917	2555.506	2486.592	2484.424	2402.056	2457.304	
VS-34a_02.mat	"pu"	620.000	783.588	176.475	147.134	149.170	224.324	195.309	190.776	434.500	254.870	602.610	536.647	401.405	384.943	1206.049	1453.932	1619.558	1188.004	902.322	875.336	2535.925	2659.764	2416.188	2588.211	2539.582	2465.444	
VS-34a_02.mat	"P"	620.000	708.454	147.794	144.193	150.474	149.123	149.123	149.123	469.159	225.567	289.340	508.178	778.358	549.680	1480.672	1477.709	1422.552	1636.395	1536.593	1309.690	2564.402	2696.954	2599.261	2373.290	2425.325	2718.755	
VS-34a_02.mat	"UH0"	708.454	783.588	196.242	215.564	195.311	191.827	191.013	190.470	393.611	400.817	403.487	395.189	390.844	377.681	883.582	858.321	906.623	907.860	882.566	862.064	2504.438	2509.872	2575.713	2500.974	2484.464	2447.125	
VS-34a_03.mat	"pu"	940.000	1189.833	95.585	70.589	66.366	65.190	77.908	190.119	572.381	459.621	506.643	706.086	842.933	380.077	1588.607	1026.023	1755.151	2421.492	1910.901	870.692	2909.239	2659.517	3178.652	3469.313	2975.783	2302.486	
VS-34a_03.mat	"P"	940.000	1131.601	66.956	70.933	68.272	63.794	65.927	64.435	631.902	463.868	446.098	590.722	771.247	873.524	1805.761	1039.688	1160.039	2324.611	2536.509	2006.449	3086.593	2703.952	2747.729	3467.816	3556.838	2996.560	
VS-34a_03.mat	"UH0"	1131.601	1189.833	190.115	188.785	185.596	190.358	194.460	191.091	372.834	344.676	383.125	376.987	378.881	380.652	865.449	832.121	848.277	848.225	876.735	918.477	2323.702	2423.640	2360.173	2345.270	2359.400	2139.348	
VS-34a_04.mat	"pu"	2720.000	2840.945	193.716	193.716	193.716	209.557	193.142	184.522	669.537	1102.381	1096.619	451.759	382.236	339.980	1475.541	2178.395	2032.088	1345.229	841.674	980.807	2704.195	3233.655	2985.023	2744.890	2295.981	2254.047	
VS-34a_04.mat	"P"	2720.000	2779.749	214.764	214.764	214.764	214.764	214.764	214.764	989.543	476.618	1782.168	1365.386	812.101	597.730	2050.078	1930.619	2485.414	2312.118	1731.771	1837.280	3075.265	2965.468	3596.504	3313.093	2630.640	2928.438	
VS-34a_04.mat	"UH0"	2779.749	2840.945	193.035	208.860	197.635	190.014	187.240	181.979	348.207	300.571	368.253	393.891	348.363	332.639	913.589	920.212	814.488	862.977	911.698	1045.495	2345.878	2617.102	2338.535	2253.986	2192.239	2328.676	
VS-34a_06.mat	"ki"	2070.000	2160.000	0	0	0	0	0	0	864.797	1233.775	824.750	781.312	724.936	720.067	1583.045	2340.646	2036.994	1212.125	1169.179	1119.801	3138.877	3486.790	3224.114	2911.856	3005.573	3043.714	
VS-34a_06.mat	"pu"	6943.284	7121.703	200.189	200.189	200.189	236.380	192.196	186.443	678.670	1090.033	1033.007	523.860	388.397	364.667	1498.886	2258.778	2247.093	1304.284	812.736	877.023	2836.229	3372.941	3385.606	2604.325	2451.223	2376.589	
VS-34a_06.mat	"K"	2070.000	2130.000	0	0	0	0	0	0	939.197	1362.749	849.198	930.856	797.397	756.358	1803.096	2311.135	2276.098	1985.580	1221.179	1188.138	3197.876	3438.241	3418.730	3212.982	2864.818	3031.680	
VS-34a_06.mat	"IH0"	2130.000	2160.000	0	0	0	0	0	0	714.645	713.266	694.919	675.380	714.027	769.795	1137.025	1171.222	1154.542	1134.402	1092.441	1127.259	3020.591	3008.094	2953.338	2997.785	3021.372	3110.397	
VS-34a_06.mat	"P"	6943.284	7042.373	243.376	243.376	243.376	243.376	243.376	243.376	922.142	1059.867	1118.981	994.506	1013.664	408.444	2023.231	2311.315	2253.670	2197.596	2049.054	1255.396	3166.846	3421.334	3349.763	3364.758	3145.856	2492.587	
VS-34a_06.mat	"UH0"	7042.373	7121.703	193.089	209.219	191.086	193.044	189.426	181.921	373.763	367.229	387.172	395.530	389.884	331.715	843.206	827.300	805.601	815.364	869.941	896.647	2424.440	2493.188	2472.173	2415.469	2431.174	2313.858	
VS-34a_07.mat	"pu"	590.000	715.376	184.599	157.221	168.179	168.179	218.966	200.574	440.427	386.468	722.122	297.041	396.175	402.462	1292.384	1456.828	1745.653	1489.223	895.090	895.109	2677.047	2937.093	2739.279	2573.275	2617.295	2511.232	
VS-34a_07.mat	"ki"	2760.000	2990.000	164.572	164.572	164.572	201.286	165.569	88.628	561.624	873.953	907.514	349.073	366.375	306.487	1936.701	2149.446	2194.831	2058.471	1420.538	1878.939	2991.057	3517.310	3097.649	2968.852	2483.364	2909.267	
VS-34a_07.mat	"P"	590.000	670.783	163.877	158.766	157.775	170.809	174.341	229.033	457.693	251.951	817.023	601.391	297.040	317.837	1507.749	1133.386	2016.549	1568.872	1660.240	1115.743	2731.508	2729.651	3350.174	2451.255	2558.928	2543.574	
VS-34a_07.mat	"UH0"	670.783	715.376	208.610	227.663	211.324	204.697	200.697	196.992	407.257	400.789	427.953	427.467	416.650	369.377	891.266	894.528	876.986	888.407	890.255	904.107	2577.050	2672.460	2660.955	2640.421	2579.612	2341.890	
VS-34a_07.mat	"K"	2760.000	2840.000	0	0	0	0	0	0	881.014	771.188	755.764	1123.917	1066.838	674.285	2187.361	1885.019	1997.830	2728.583	2619.330	1800.616	3396.428	3389.003	3229.396	4080.490	3708.072	2691.455	
VS-34a_07.mat	"IH0"	2840.000	2990.000	164.572	214.926	193.097	183.306	106.493	88.907	392.327	578.773	371.786	376.293	321.153	306.055	1802.061	2039.256	2059.352	1252.400	1793.807	1874.133	2770.489	2748.586	3076.500	2407.791	2702.263	2918.082	
VS-34a_17.mat	"pu"	1220.000	1478.435	183.008	150.622	150.622	150.622	215.691	195.074	446.061	231.267	334.415	849.229	422.671	389.997	1464.995	1276.399	1736.122	2033.484	1431.840	856.021	2796.440	2655.664	2914.369	3151.703	2702.753	2537.762	
VS-34a_17.mat	"P"	1220.000	1405.078	157.683	150.015	153.333	153.333	153.333	222.644	470.983	201.922	317.730	343.304	952.899	540.996	1706.947	1208.942	1547.530	1799.467	2075.488	1903.240	2911.513	2669.585	2795.424	2956.851	3298.678	2840.221	
VS-34a_17.mat	"UH0"	1405.078	1478.435	200.986	218.747	202.852	197.136	193.458	191.586	381.437	352.663	389.289	391.153	379.470	395.603	846.279	818.587	839.907	842.659	848.242	882.126	2503.174	2398.236	2458.731	2566.730	2567.256	2525.956	
VS-34a_19.mat	"pu"	2990.000	3106.335	193.291	193.291	193.291	193.291	193.291	193.291	867.397	799.458	1340.261	963.837	603.478	637.640	1969.800	1824.735	2526.828	2022.263	1493.202	2023.745	3205.504	3086.602	3597.327	3304.023	2904.576	3178.276	
