Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-34a_45.mat	"ikii"	151.893	521.815	170.407	112.757	139.308	189.118	186.600	183.566	175.831	222.624	190.901	173.746	167.149	451.051	366.354	381.163	320.628	330.533	803.636	705.945	469.237	367.720	387.449	388.059	1963.702	1987.734	2156.170	2113.892	1910.619	2013.133	1859.474	1959.532	2034.168	1943.388	1671.543	2650.562	2956.669	2559.005	2613.894	3079.742	2747.416	2555.002	2518.860	2571.685	2567.773	2358.181	
VS-34a_45.mat	"IH0"	151.893	256.718	145.191	192.703	70.862	76.726	102.002	100.566	132.831	198.652	197.076	192.614	184.219	358.539	342.066	373.633	383.127	370.306	376.936	386.963	386.850	365.094	317.505	290.288	2090.734	1806.755	1961.611	2122.067	2132.560	2166.793	2159.526	2149.791	2153.874	2127.577	2137.726	2697.985	3002.964	2969.974	2945.795	2711.241	2371.257	2684.392	2617.904	2436.488	2389.406	2794.148	
VS-34a_45.mat	"K"	256.718	397.388	184.910	178.749	189.565	188.278	186.139	185.439	177.484	177.484	177.484	177.484	226.581	589.206	283.437	321.945	370.585	376.422	951.800	1059.760	708.492	612.323	758.927	456.797	1933.962	1963.457	1933.232	1874.355	2001.901	2078.363	1927.787	1891.260	1770.248	1983.964	1912.578	2748.491	2975.517	3061.820	3141.639	2780.393	2853.628	2706.900	2648.154	2320.993	2401.523	2557.900	
VS-34a_45.mat	"IY1"	397.388	521.815	182.479	223.770	202.418	191.273	181.642	175.229	173.619	172.731	170.027	166.059	165.515	371.655	297.558	359.956	371.898	369.283	378.788	392.147	389.681	402.857	393.924	368.804	1889.294	1950.203	2060.306	2033.122	2013.561	1998.844	1936.163	1900.017	1831.075	1621.314	1566.650	2502.712	2539.201	2573.688	2567.349	2572.047	2587.042	2575.752	2545.842	2474.088	2371.177	2244.543	
VS-35b_08.mat	"iki"	427.709	874.039	151.691	161.467	170.013	173.678	169.932	169.932	169.932	169.932	97.566	102.635	150.794	416.033	393.413	362.399	355.747	351.071	359.474	339.295	1004.445	430.893	313.364	251.276	2117.459	2047.195	2162.236	2224.494	2175.454	2150.771	1857.183	2183.457	1959.558	2185.170	2227.557	2997.287	2906.946	2820.938	3094.875	3163.773	3173.526	2995.285	2793.421	3081.055	3253.544	2704.379	
VS-35b_08.mat	"IH0"	427.709	531.364	166.951	156.821	160.685	163.004	164.128	166.153	168.306	169.091	172.320	174.840	174.271	376.123	378.399	387.134	382.931	411.936	426.815	389.540	364.316	322.875	311.852	385.173	2122.697	2001.097	2033.355	2057.249	2083.285	2099.789	2143.939	2174.232	2189.678	2209.545	2236.058	2837.581	2829.995	2906.261	2969.545	2910.943	2915.961	2874.391	2871.230	2703.563	2726.909	2672.909	
VS-35b_08.mat	"K"	531.364	761.583	171.468	172.529	173.262	168.052	168.052	168.052	168.052	168.052	168.052	168.052	168.052	498.482	353.775	352.930	339.951	369.830	353.483	344.232	345.142	1077.583	864.157	585.115	2090.288	2240.911	2187.577	2154.461	2208.556	2120.325	1957.639	1826.492	2020.978	2298.485	1903.076	3060.949	3239.738	3460.509	2866.705	3495.100	2932.157	3127.665	2956.658	2736.702	2832.799	3002.063	
VS-35b_08.mat	"IH0"	761.583	874.039	119.797	96.569	97.950	101.343	104.053	103.233	100.513	100.513	165.753	149.115	137.501	281.877	279.228	285.906	301.736	298.731	332.315	319.250	319.205	251.866	230.242	205.656	2164.833	1835.391	2178.938	2152.889	2186.035	2211.329	2189.631	2254.686	2248.416	2177.218	2222.739	3010.987	3063.104	3230.847	3211.852	3451.918	3252.814	3089.575	3018.688	2678.372	2493.927	2622.664	
VS-35b_16.mat	"iki"	1290.105	1683.223	128.674	153.507	149.898	147.646	147.646	147.646	147.646	147.646	89.793	94.535	110.817	586.799	270.145	376.103	273.981	649.433	903.405	1234.248	860.529	638.070	288.459	339.902	2108.989	2113.543	2067.876	1914.104	2248.775	2162.483	2293.954	1991.089	2007.835	2149.527	2130.634	3019.917	2696.682	2790.395	2837.405	3136.599	3228.667	3427.485	2706.540	2977.732	3261.861	3117.655	
VS-35b_16.mat	"IH0"	1290.105	1369.945	151.612	153.766	156.422	153.768	151.454	151.987	151.566	151.740	150.898	148.223	146.512	324.071	296.559	262.937	256.313	264.974	267.429	258.483	241.454	156.496	876.211	270.418	2086.404	2287.080	2032.431	1865.865	2120.979	2256.492	2043.680	2075.880	1974.346	2190.837	1976.163	2744.984	2804.167	2740.873	2527.855	2556.893	2836.932	2655.213	2668.355	2565.693	3378.207	2618.340	
