Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,dur,issue
VS-34a_45.mat,ikii,1,IH0,V1,ikiich,ikiich too xuriha,sil,K,104.82500000000002,151.893,256.718,145.191,192.703,70.862,76.726,102.00200000000001,100.566,132.83100000000002,198.65200000000002,197.076,192.614,184.21900000000002,358.539,342.066,373.63300000000004,383.12699999999995,370.306,376.936,386.963,386.85,365.094,317.505,290.288,2090.734,1806.755,1961.611,2122.067,2132.56,2166.7929999999997,2159.526,2149.791,2153.874,2127.577,2137.726,2697.985,3002.9640000000004,2969.974,2945.795,2711.241,2371.257,2684.3920000000003,2617.904,2436.488,2389.406,2794.1479999999997,104.82500000000002,none
VS-34a_45.mat,ikii,1,K,C,ikiich,ikiich too xuriha,IH0,IY1,140.67000000000002,256.718,397.38800000000003,184.91,178.74900000000002,189.565,188.278,186.139,185.43900000000002,177.484,177.484,177.484,177.484,226.581,589.206,283.437,321.945,370.585,376.42199999999997,951.8,1059.76,708.492,612.323,758.927,456.79699999999997,1933.9620000000002,1963.457,1933.2320000000002,1874.355,2001.901,2078.363,1927.787,1891.26,1770.2479999999998,1983.964,1912.578,2748.491,2975.5170000000003,3061.82,3141.639,2780.393,2853.6279999999997,2706.9,2648.1540000000005,2320.993,2401.5229999999997,2557.9,140.67000000000002,none
VS-34a_45.mat,ikii,1,IY1,V2,ikiich,ikiich too xuriha,K,CH,124.42700000000002,397.38800000000003,521.815,182.479,223.77,202.418,191.273,181.642,175.229,173.61900000000003,172.731,170.02700000000002,166.05900000000003,165.515,371.655,297.558,359.95599999999996,371.898,369.283,378.788,392.147,389.681,402.85699999999997,393.92400000000004,368.80400000000003,1889.2939999999999,1950.203,2060.306,2033.122,2013.5610000000001,1998.844,1936.1629999999998,1900.017,1831.075,1621.3139999999999,1566.65,2502.712,2539.201,2573.688,2567.349,2572.047,2587.042,2575.752,2545.842,2474.0879999999997,2371.177,2244.5429999999997,124.42700000000002,none
VS-35b_08.mat,iki,2,IH0,V1,nayikiha,ta nayikiha,Y,K,103.65500000000003,427.709,531.364,166.951,156.821,160.685,163.004,164.128,166.153,168.30599999999998,169.09099999999998,172.32,174.84,174.271,376.12300000000005,378.399,387.134,382.931,411.936,426.815,389.54,364.316,322.875,311.85200000000003,385.173,2122.697,2001.0970000000002,2033.355,2057.249,2083.285,2099.7889999999998,2143.939,2174.232,2189.678,2209.545,2236.058,2837.5809999999997,2829.995,2906.261,2969.545,2910.9429999999998,2915.961,2874.3909999999996,2871.23,2703.563,2726.909,2672.909,103.65500000000003,none
VS-35b_08.mat,iki,2,K,C,nayikiha,ta nayikiha,IH0,IH0,230.21900000000005,531.364,761.5830000000001,171.468,172.52900000000002,173.262,168.05200000000002,168.05200000000002,168.05200000000002,168.05200000000002,168.05200000000002,168.05200000000002,168.05200000000002,168.05200000000002,498.48199999999997,353.775,352.93,339.95099999999996,369.83,353.483,344.23199999999997,345.142,1077.583,864.1569999999999,585.115,2090.288,2240.911,2187.577,2154.4610000000002,2208.556,2120.325,1957.639,1826.4920000000002,2020.9779999999998,2298.485,1903.076,3060.949,3239.738,3460.509,2866.705,3495.1,2932.157,3127.665,2956.658,2736.702,2832.7990000000004,3002.063,230.21900000000005,none
VS-35b_08.mat,iki,2,IH0,V2,nayikiha,ta nayikiha,K,HH,112.4559999999999,761.5830000000001,874.039,119.79700000000001,96.569,97.95,101.34299999999999,104.053,103.23299999999999,100.51299999999999,100.51299999999999,165.753,149.115,137.501,281.877,279.228,285.906,301.736,298.731,332.315,319.25,319.205,251.86599999999999,230.24200000000002,205.65599999999998,2164.833,1835.391,2178.938,2152.889,2186.035,2211.3289999999997,2189.631,2254.686,2248.416,2177.218,2222.739,3010.987,3063.1040000000003,3230.847,3211.8520000000003,3451.9179999999997,3252.8140000000003,3089.575,3018.688,2678.3720000000003,2493.927,2622.664,112.4559999999999,none
VS-35b_16.mat,iki,3,IH0,V1,nayikiha,vura uum puxich ta nayikiha,Y,K,79.83999999999992,1290.105,1369.945,151.612,153.766,156.422,153.768,151.454,151.987,151.566,151.74,150.898,148.22299999999998,146.512,324.07099999999997,296.559,262.937,256.313,264.974,267.42900000000003,258.483,241.454,156.496,876.211,270.418,2086.404,2287.08,2032.431,1865.865,2120.979,2256.492,2043.68,2075.88,1974.346,2190.837,1976.1629999999998,2744.9840000000004,2804.167,2740.873,2527.855,2556.893,2836.9320000000002,2655.2129999999997,2668.355,2565.6929999999998,3378.2070000000003,2618.34,79.83999999999992,none
VS-35b_16.mat,iki,3,K,C,nayikiha,vura uum puxich ta nayikiha,IH0,IH0,219.88400000000001,1369.945,1589.829,144.22899999999998,147.071,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,87.01700000000001,801.363,245.953,317.656,547.714,755.487,1017.993,1176.491,1333.3339999999998,950.3960000000001,798.727,878.4810000000001,2116.88,1913.365,1973.8470000000002,2213.578,2096.185,2256.484,2198.999,2464.859,1932.7120000000002,2025.3020000000001,2059.714,3074.697,2787.823,2943.864,3085.308,3102.2270000000003,3317.215,3372.2790000000005,3548.8140000000003,2605.264,2855.7690000000002,3116.248,219.88400000000001,none
VS-35b_16.mat,iki,3,IH0,V2,nayikiha,vura uum puxich ta nayikiha,K,HH,93.394,1589.829,1683.223,99.447,88.821,92.381,94.271,95.478,96.32,91.167,85.62799999999999,85.632,86.54799999999999,189.31,301.781,239.111,231.127,258.9,300.565,307.928,320.29400000000004,328.494,340.376,342.74,353.19599999999997,2105.306,1791.479,2178.749,2118.3160000000003,2139.006,2135.867,2141.375,2087.436,2088.016,2154.857,2200.249,3120.942,2793.9040000000005,2930.7990000000004,3261.35,3122.462,3386.4309999999996,3288.816,3077.9640000000004,3034.4109999999996,3335.782,3029.887,93.394,none
VS-35b_37.mat,iiki,4,IY1,V1,tukeevniikichha,tukeevniikichha,N,K,146.56999999999994,610.845,757.415,139.03799999999998,148.192,146.153,145.003,144.312,142.639,139.667,136.623,133.216,129.653,124.839,308.155,318.144,308.232,310.922,311.488,311.143,304.099,296.54,290.285,298.046,331.631,2065.797,1848.28,1931.8470000000002,2013.1529999999998,2042.628,2086.467,2123.698,2118.614,2140.603,2186.425,2171.799,2680.2209999999995,2567.265,2528.424,2577.111,2638.1440000000002,2528.736,2453.21,2734.3,2889.551,2806.61,3073.329,146.56999999999994,none
VS-35b_37.mat,iiki,4,K,C,tukeevniikichha,tukeevniikichha,IY1,IH0,132.13300000000004,757.415,889.548,116.415,120.337,113.09700000000001,114.65,119.06700000000001,119.06700000000001,119.06700000000001,119.06700000000001,119.06700000000001,119.06700000000001,119.06700000000001,471.36699999999996,320.735,271.92,310.241,313.91,374.954,502.024,508.30199999999996,868.563,662.3910000000001,630.021,1664.1429999999998,1698.1170000000002,1029.796,1989.3339999999998,1439.619,1468.26,1824.5,1523.7220000000002,1882.484,1836.2060000000001,1902.0870000000002,2839.627,2539.7870000000003,2473.9410000000003,3535.8140000000003,2428.674,2881.2309999999998,3374.988,2697.177,2436.947,2928.178,3086.17,132.13300000000004,none
VS-35b_37.mat,iiki,4,IH0,V2,tukeevniikichha,tukeevniikichha,K,CH,65.76999999999998,889.548,955.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.76599999999996,320.981,339.225,365.57199999999995,370.315,326.72,315.111,311.228,333.402,576.701,713.584,1876.5120000000002,1370.5739999999998,1984.7420000000002,2033.224,1959.5610000000001,1495.126,1659.3039999999999,1967.255,2039.2910000000002,2160.7529999999997,2077.451,3014.907,2304.333,2682.0429999999997,3415.3579999999997,3507.211,2496.746,1995.047,2731.6079999999997,4022.248,3702.6440000000002,3477.7459999999996,65.76999999999998,none
VS-37_16.mat,ikii,5,IH0,V1,pananikiit,pananikiit iin neepsharavrikeesh,N,K,59.632000000000005,318.592,378.224,202.143,200.502,200.668,202.09900000000002,203.65599999999998,204.338,204.515,203.544,202.19799999999998,200.953,199.358,285.70599999999996,274.34,300.688,319.768,324.51599999999996,319.594,312.637,286.856,251.891,243.299,235.791,2101.874,2039.527,2074.67,2039.0079999999998,2045.614,2054.4570000000003,2079.759,2140.696,2142.587,2155.462,2227.179,2438.988,2494.1479999999997,2371.105,2388.843,2410.371,2463.9,2437.024,2359.7110000000002,2474.594,2522.24,2451.604,59.632000000000005,none
VS-37_16.mat,ikii,5,K,C,pananikiit,pananikiit iin neepsharavrikeesh,IH0,IY1,138.825,378.224,517.049,199.201,197.61700000000002,191.861,204.179,204.787,204.787,204.787,200.794,204.75099999999998,204.75099999999998,204.75099999999998,555.72,293.156,331.385,295.714,237.264,308.652,373.07199999999995,760.99,1280.437,1170.887,544.444,2075.397,2134.07,1829.265,2037.6960000000001,1984.56,2018.1529999999998,1820.378,2211.7129999999997,2331.8,2388.88,1972.14,2763.275,2760.1820000000002,2313.019,2349.7,2650.415,2648.9570000000003,2928.49,2965.8990000000003,2990.893,3033.1690000000003,2972.002,138.825,none
