Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
VS-34a_45.mat	"ikii"	151.893	521.815	170.407	141.330	83.537	100.758	173.949	195.323	183.313	184.095	189.531	185.634	181.697	175.831	175.831	175.831	222.624	198.662	183.544	174.602	172.922	168.815	165.496	451.051	354.519	377.610	376.073	386.338	345.667	295.649	289.530	371.533	349.421	1203.495	758.416	658.070	641.380	299.246	365.895	369.645	382.754	392.247	402.816	374.473	1963.702	1856.295	2115.738	2160.750	2152.616	2137.237	2095.053	1939.163	1883.392	2011.081	2013.912	1904.545	1817.185	1990.700	1925.848	2053.087	2016.158	1979.936	1908.201	1764.230	1582.207	2650.562	2989.352	2925.823	2478.327	2642.620	2408.843	2795.900	3030.974	3123.418	2643.464	2823.111	2777.994	2329.084	2487.413	2552.420	2573.763	2569.393	2584.660	2552.233	2437.620	2283.143	
VS-34a_45.mat	"IH0"	151.893	256.718	145.191	238.188	155.007	70.559	71.190	70.933	81.530	102.190	101.718	101.009	100.087	99.677	165.970	198.888	198.399	197.725	196.316	194.160	191.077	186.997	181.996	358.539	320.722	362.985	375.150	370.056	387.186	379.806	371.444	368.120	373.928	379.525	386.894	386.842	389.257	384.710	372.206	356.645	333.917	301.174	285.892	293.830	2090.734	1800.874	1811.148	1879.837	2058.226	2129.778	2113.874	2120.521	2145.323	2153.688	2177.425	2170.893	2145.560	2141.602	2157.366	2167.726	2139.035	2094.738	2156.615	2165.687	2115.177	2697.985	3023.723	2981.088	2974.037	2964.503	2964.531	2928.344	2874.994	2538.820	2282.001	2453.348	2677.148	2694.803	2672.159	2566.258	2460.655	2407.246	2390.820	2386.628	2666.890	2909.339	
VS-34a_45.mat	"K"	256.718	397.388	184.910	179.206	178.216	184.910	195.446	188.894	187.563	185.820	186.335	184.567	186.570	178.582	175.762	175.762	175.762	175.762	175.762	175.762	175.762	175.762	226.581	589.206	305.710	263.966	276.657	370.216	392.630	350.769	386.973	369.592	666.233	1331.325	1134.512	996.318	679.825	738.467	602.750	583.261	789.355	730.047	587.198	329.659	1933.962	1984.203	1937.537	1953.240	1913.343	1886.684	1858.449	1949.340	2055.725	2072.911	2098.955	1886.438	1989.367	1915.080	1872.406	1814.038	1712.299	1957.802	2014.861	1986.212	1842.847	2748.491	2941.675	3006.520	3070.243	3052.393	3129.955	3155.038	3082.803	2487.733	2594.970	3173.582	2186.315	3174.638	2957.384	2306.947	2292.919	2350.374	2362.751	2439.551	2536.698	2582.923	
VS-34a_45.mat	"IY1"	397.388	521.815	182.479	229.199	218.204	205.526	199.099	194.243	188.723	183.751	179.505	176.276	174.301	173.663	173.560	173.172	172.312	170.914	169.027	166.656	165.415	165.224	165.835	371.655	279.299	317.575	351.676	368.153	374.192	369.965	368.203	370.282	375.527	381.637	389.489	395.095	388.135	390.522	407.334	397.151	402.244	386.005	370.123	367.018	1889.294	1837.330	2095.056	2068.163	2051.132	2047.379	2021.281	2007.885	2019.113	2016.097	1984.678	1945.406	1926.618	1906.283	1893.036	1889.259	1769.758	1634.383	1611.754	1585.042	1552.659	2502.712	2521.007	2555.691	2571.811	2574.764	2576.712	2559.278	2559.265	2584.415	2592.779	2581.581	2581.501	2570.301	2554.969	2536.918	2502.845	2441.930	2372.045	2369.677	2303.882	2177.210	
VS-35b_08.mat	"iki"	427.709	874.039	151.691	159.155	163.860	167.724	172.359	173.909	173.397	170.977	167.933	167.933	167.933	167.933	167.933	167.933	167.933	167.933	97.566	102.864	102.532	165.753	143.374	416.033	382.041	404.318	397.360	325.979	365.759	346.200	348.157	352.859	366.679	351.721	339.591	338.660	1186.105	831.124	578.034	282.896	300.837	325.606	282.811	217.722	2117.459	2019.181	2075.103	2137.051	2189.369	2244.546	2207.419	2199.647	2155.000	2166.236	2128.283	1910.328	1806.425	2094.983	2292.363	1892.208	2008.389	2170.336	2201.409	2249.223	2198.463	2997.287	2874.428	2940.707	2893.072	2748.693	2760.903	3415.657	3367.037	2944.997	3390.695	2938.128	3087.997	2908.422	2728.888	2852.331	3005.404	3150.760	3346.686	3167.539	2836.625	2552.475	
VS-35b_08.mat	"IH0"	427.709	531.364	166.951	155.800	157.765	159.730	161.712	163.144	162.829	163.484	164.717	165.725	166.542	167.790	168.933	168.638	169.532	171.493	173.067	174.595	175.202	174.586	173.943	376.123	359.068	398.784	390.174	383.446	381.724	383.832	398.955	424.574	440.406	416.192	392.702	386.202	373.026	355.518	332.303	314.417	306.565	315.974	375.263	398.064	2122.697	1994.601	2006.379	2032.458	2034.628	2048.896	2067.508	2081.036	2085.761	2093.380	2105.131	2130.612	2157.646	2176.993	2172.745	2177.222	2201.684	2198.343	2220.048	2232.708	2239.014	2837.581	2826.573	2832.310	2887.349	2926.641	2954.459	2992.105	2911.163	2907.948	2929.199	2906.272	2866.391	2880.684	2897.280	2848.396	2708.512	2684.643	2758.102	2696.027	2671.061	2674.992	
VS-35b_08.mat	"K"	531.364	761.583	171.468	172.547	172.407	174.733	171.650	168.231	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	167.824	498.482	363.422	343.142	352.538	354.897	327.526	352.955	372.445	367.034	357.432	349.136	350.483	337.273	333.654	357.805	963.405	1193.178	1013.411	725.035	809.926	391.738	2090.288	2260.193	2218.823	2172.388	2205.093	2183.960	2107.054	2224.205	2194.364	2089.241	2163.290	2040.080	1866.459	1848.910	1801.288	2067.137	1970.513	2525.029	2099.261	2116.492	1699.200	3060.949	2978.591	3521.266	3382.804	3538.725	2867.646	2826.898	3535.738	3452.125	3050.212	2791.409	3203.221	3034.882	3025.356	2888.684	2863.160	2609.607	2810.006	2851.287	2995.585	3006.835	
VS-35b_08.mat	"IH0"	761.583	874.039	119.797	96.634	96.569	97.116	98.667	100.197	102.787	103.193	104.725	105.435	101.535	100.513	100.513	100.513	100.513	164.829	167.064	153.331	145.652	138.608	136.499	281.877	270.562	286.741	285.962	285.736	302.958	301.587	298.423	299.577	327.946	337.388	326.032	314.004	312.260	329.053	271.516	229.054	236.139	225.362	217.036	195.866	2164.833	1641.433	1996.012	2173.078	2185.387	2153.629	2150.160	2173.362	2198.545	2222.620	2202.921	2175.292	2201.382	2226.746	2287.080	2262.678	2233.103	2101.622	2259.115	2246.516	2207.179	3010.987	3030.639	3089.369	3196.580	3261.661	3219.766	3202.211	3340.777	3579.135	3278.480	3223.810	3194.699	3000.194	3021.910	3023.185	2872.059	2491.154	2356.898	2584.375	2638.969	2603.189	
VS-35b_16.mat	"iki"	1290.105	1683.223	128.674	155.086	151.903	151.628	148.230	146.920	148.540	148.540	148.540	148.540	148.540	148.540	148.540	148.540	148.540	148.540	89.793	94.401	94.720	85.809	166.474	586.799	274.917	264.467	241.845	500.751	249.553	292.749	352.494	971.568	635.732	1189.823	1093.151	1362.213	919.643	798.568	950.900	381.726	263.212	313.515	333.645	346.135	2108.989	2094.158	2122.164	2080.500	2052.630	1904.506	1920.290	2105.471	2413.820	1946.419	2403.420	2130.820	2452.083	1923.681	2056.020	2047.557	2001.329	2156.319	2143.316	2088.254	2174.579	3019.917	2714.938	2669.625	2641.316	2927.878	2758.469	2912.808	2910.817	3398.850	3073.692	3411.886	3328.692	3519.579	2565.573	2851.788	3104.239	2916.893	3186.894	3327.650	3065.739	3172.438	
VS-35b_16.mat	"IH0"	1290.105	1369.945	151.612	153.517	153.828	156.459	156.436	155.432	152.264	151.458	151.439	151.869	152.178	151.407	151.670	151.783	151.710	151.269	150.574	148.824	147.591	146.797	146.126	324.071	301.247	292.542	270.255	254.837	254.696	258.030	261.257	268.537	271.033	263.916	260.394	256.795	249.660	233.947	189.679	123.694	1437.120	496.315	259.822	282.366	2086.404	2282.883	2290.526	2227.220	1806.673	1837.936	1896.394	1977.583	2259.165	2245.493	2264.251	2098.995	1982.254	2003.934	2146.759	2081.968	1860.219	2447.507	2019.544	1971.338	1983.376	2744.984	2737.553	2863.096	2985.390	2419.944	2512.400	2545.526	2522.691	2576.385	2949.413	2757.385	2622.194	2694.410	2688.316	2650.636	2566.909	2560.160	3989.923	2961.487	2609.535	2626.249	
