Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,issue
VS-34a_45.mat,ikii,1,IH0,V1,ikiich,ikiich too xuriha,sil,K,104.82500000000002,151.893,256.718,145.191,238.188,155.007,70.559,71.19,70.933,81.53,102.19,101.71799999999999,101.009,100.087,99.677,165.97,198.888,198.399,197.725,196.31599999999997,194.16,191.077,186.997,181.99599999999998,358.539,320.722,362.985,375.15,370.056,387.186,379.806,371.444,368.12,373.92800000000005,379.525,386.894,386.842,389.25699999999995,384.71,372.20599999999996,356.645,333.917,301.17400000000004,285.892,293.83,2090.734,1800.874,1811.148,1879.8370000000002,2058.226,2129.778,2113.874,2120.521,2145.323,2153.688,2177.425,2170.893,2145.56,2141.6020000000003,2157.366,2167.726,2139.035,2094.738,2156.615,2165.687,2115.177,2697.985,3023.723,2981.0879999999997,2974.0370000000003,2964.5029999999997,2964.531,2928.344,2874.994,2538.82,2282.001,2453.348,2677.1479999999997,2694.803,2672.159,2566.258,2460.655,2407.246,2390.82,2386.6279999999997,2666.89,2909.3390000000004,104.82500000000002,none
VS-34a_45.mat,ikii,1,K,C,ikiich,ikiich too xuriha,IH0,IY1,140.67000000000002,256.718,397.38800000000003,184.91,179.206,178.21599999999998,184.91,195.446,188.894,187.563,185.82,186.335,184.567,186.57,178.582,175.762,175.762,175.762,175.762,175.762,175.762,175.762,175.762,226.581,589.206,305.71,263.966,276.657,370.216,392.63,350.769,386.973,369.592,666.2330000000001,1331.325,1134.512,996.318,679.825,738.467,602.75,583.261,789.355,730.047,587.198,329.659,1933.9620000000002,1984.203,1937.537,1953.24,1913.3429999999998,1886.684,1858.4489999999998,1949.34,2055.725,2072.911,2098.955,1886.4379999999999,1989.3670000000002,1915.08,1872.406,1814.0379999999998,1712.299,1957.8020000000001,2014.861,1986.2120000000002,1842.8470000000002,2748.491,2941.675,3006.52,3070.243,3052.393,3129.955,3155.038,3082.803,2487.7329999999997,2594.97,3173.5820000000003,2186.315,3174.638,2957.384,2306.947,2292.919,2350.374,2362.751,2439.551,2536.698,2582.923,140.67000000000002,none
VS-34a_45.mat,ikii,1,IY1,V2,ikiich,ikiich too xuriha,K,CH,124.42700000000002,397.38800000000003,521.815,182.479,229.199,218.204,205.52599999999998,199.09900000000002,194.243,188.72299999999998,183.75099999999998,179.505,176.27599999999998,174.301,173.66299999999998,173.56,173.172,172.312,170.91400000000002,169.02700000000002,166.65599999999998,165.415,165.22400000000002,165.835,371.655,279.29900000000004,317.575,351.676,368.153,374.19199999999995,369.965,368.20300000000003,370.282,375.527,381.63699999999994,389.48900000000003,395.095,388.135,390.522,407.334,397.151,402.244,386.005,370.12300000000005,367.01800000000003,1889.2939999999999,1837.33,2095.056,2068.163,2051.132,2047.379,2021.281,2007.885,2019.1129999999998,2016.0970000000002,1984.6779999999999,1945.406,1926.618,1906.283,1893.036,1889.259,1769.7579999999998,1634.3829999999998,1611.754,1585.0420000000001,1552.6589999999999,2502.712,2521.007,2555.6910000000003,2571.811,2574.764,2576.712,2559.278,2559.265,2584.415,2592.779,2581.581,2581.501,2570.301,2554.969,2536.9179999999997,2502.845,2441.93,2372.045,2369.677,2303.882,2177.21,124.42700000000002,none
VS-35b_08.mat,iki,2,IH0,V1,nayikiha,ta nayikiha,Y,K,103.65500000000003,427.709,531.364,166.951,155.8,157.765,159.73,161.71200000000002,163.144,162.829,163.484,164.717,165.725,166.542,167.79,168.933,168.638,169.532,171.493,173.067,174.595,175.202,174.58599999999998,173.94299999999998,376.12300000000005,359.06800000000004,398.784,390.17400000000004,383.44599999999997,381.724,383.832,398.955,424.574,440.406,416.19199999999995,392.702,386.202,373.026,355.51800000000003,332.30300000000005,314.41700000000003,306.565,315.974,375.26300000000003,398.064,2122.697,1994.601,2006.379,2032.4579999999999,2034.628,2048.896,2067.508,2081.036,2085.761,2093.38,2105.131,2130.612,2157.646,2176.993,2172.745,2177.222,2201.6839999999997,2198.343,2220.048,2232.708,2239.014,2837.5809999999997,2826.573,2832.31,2887.349,2926.6409999999996,2954.4590000000003,2992.105,2911.163,2907.948,2929.199,2906.272,2866.3909999999996,2880.684,2897.28,2848.3959999999997,2708.512,2684.643,2758.1020000000003,2696.027,2671.0609999999997,2674.992,103.65500000000003,none
VS-35b_08.mat,iki,2,K,C,nayikiha,ta nayikiha,IH0,IH0,230.21900000000005,531.364,761.5830000000001,171.468,172.547,172.407,174.733,171.65,168.231,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,167.824,498.48199999999997,363.42199999999997,343.142,352.538,354.897,327.526,352.955,372.445,367.034,357.43199999999996,349.13599999999997,350.483,337.273,333.654,357.805,963.405,1193.178,1013.4110000000001,725.035,809.926,391.73800000000006,2090.288,2260.1929999999998,2218.823,2172.388,2205.093,2183.96,2107.054,2224.205,2194.364,2089.241,2163.29,2040.08,1866.4589999999998,1848.91,1801.2879999999998,2067.137,1970.513,2525.029,2099.261,2116.492,1699.2,3060.949,2978.591,3521.2659999999996,3382.804,3538.725,2867.6459999999997,2826.8979999999997,3535.738,3452.125,3050.212,2791.409,3203.2209999999995,3034.882,3025.3559999999998,2888.684,2863.16,2609.607,2810.006,2851.2870000000003,2995.585,3006.835,230.21900000000005,none
VS-35b_08.mat,iki,2,IH0,V2,nayikiha,ta nayikiha,K,HH,112.4559999999999,761.5830000000001,874.039,119.79700000000001,96.634,96.569,97.116,98.667,100.197,102.787,103.193,104.725,105.435,101.535,100.51299999999999,100.51299999999999,100.51299999999999,100.51299999999999,164.829,167.06400000000002,153.33100000000002,145.65200000000002,138.608,136.499,281.877,270.562,286.741,285.962,285.736,302.95799999999997,301.587,298.423,299.577,327.94599999999997,337.38800000000003,326.032,314.004,312.26,329.05300000000005,271.51599999999996,229.054,236.139,225.362,217.03599999999997,195.86599999999999,2164.833,1641.433,1996.0120000000002,2173.078,2185.387,2153.629,2150.16,2173.362,2198.545,2222.62,2202.9210000000003,2175.292,2201.382,2226.746,2287.08,2262.678,2233.103,2101.6220000000003,2259.115,2246.516,2207.179,3010.987,3030.639,3089.369,3196.58,3261.6609999999996,3219.7659999999996,3202.211,3340.777,3579.135,3278.48,3223.81,3194.699,3000.1940000000004,3021.91,3023.185,2872.059,2491.154,2356.8979999999997,2584.375,2638.969,2603.189,112.4559999999999,none
VS-35b_16.mat,iki,3,IH0,V1,nayikiha,vura uum puxich ta nayikiha,Y,K,79.83999999999992,1290.105,1369.945,151.612,153.517,153.828,156.459,156.436,155.43200000000002,152.264,151.458,151.439,151.869,152.178,151.407,151.67,151.783,151.71,151.269,150.57399999999998,148.82399999999998,147.591,146.797,146.126,324.07099999999997,301.247,292.54200000000003,270.255,254.83700000000002,254.696,258.03,261.257,268.53700000000003,271.033,263.916,260.394,256.795,249.66,233.947,189.679,123.694,1437.12,496.315,259.822,282.366,2086.404,2282.883,2290.526,2227.22,1806.6729999999998,1837.9360000000001,1896.394,1977.5829999999999,2259.165,2245.493,2264.251,2098.995,1982.254,2003.934,2146.759,2081.968,1860.219,2447.507,2019.5439999999999,1971.338,1983.376,2744.9840000000004,2737.553,2863.0959999999995,2985.39,2419.944,2512.4,2545.526,2522.6910000000003,2576.385,2949.413,2757.385,2622.1940000000004,2694.41,2688.316,2650.636,2566.909,2560.16,3989.923,2961.487,2609.535,2626.2490000000003,79.83999999999992,none
VS-35b_16.mat,iki,3,K,C,nayikiha,vura uum puxich ta nayikiha,IH0,IH0,219.88400000000001,1369.945,1589.829,144.22899999999998,147.194,146.911,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,149.107,87.01700000000001,801.363,268.953,222.87599999999998,303.722,331.67400000000004,322.532,755.85,1023.975,460.037,893.1060000000001,1157.596,1015.2339999999999,1382.8039999999999,1145.5819999999999,1512.509,1017.961,878.07,803.0089999999999,792.298,763.434,978.53,2116.88,1936.685,1888.9879999999998,1897.943,2039.0120000000002,2148.631,2278.257,2393.635,1770.558,2218.7960000000003,2327.134,2319.2929999999997,2162.6910000000003,2348.397,2572.578,2014.09,1846.796,2063.931,1999.1970000000001,1875.856,2247.067,3074.697,2700.737,2883.381,2916.558,2966.067,2877.698,3235.844,3331.6420000000003,2861.9240000000004,3386.212,3290.1820000000002,3470.097,3354.171,3358.395,3720.7129999999997,2663.745,2537.735,2809.6890000000003,2903.864,2789.546,3418.28,219.88400000000001,none
VS-35b_16.mat,iki,3,IH0,V2,nayikiha,vura uum puxich ta nayikiha,K,HH,93.394,1589.829,1683.223,99.447,88.103,89.37,91.461,93.264,94.055,94.43,95.13,95.87299999999999,96.384,96.286,94.867,88.238,86.31,84.846,85.133,86.166,86.54799999999999,86.54799999999999,190.238,188.959,301.781,238.891,239.592,234.088,227.803,244.532,270.818,289.825,314.014,315.09,299.66700000000003,316.72700000000003,323.888,323.171,335.015,343.352,338.083,329.543,352.276,367.594,336.434,2105.306,1799.121,1784.02,2118.261,2282.23,2137.882,2100.887,2133.525,2149.5679999999998,2137.284,2132.935,2166.915,2123.665,2092.078,2083.2110000000002,2071.302,2103.118,2141.085,2165.933,2186.031,2215.96,3120.942,2760.824,2821.09,2715.0209999999997,3123.038,3365.763,3183.415,3074.321,3178.1409999999996,3346.478,3434.028,3359.5009999999997,3231.3790000000004,3118.8559999999998,3024.508,2991.3990000000003,3071.216,3310.5559999999996,3366.6540000000005,3281.02,2759.421,93.394,none
VS-35b_37.mat,iiki,4,IY1,V1,tukeevniikichha,tukeevniikichha,N,K,146.56999999999994,610.845,757.415,139.03799999999998,148.74,147.734,146.636,145.631,145.217,144.816,144.541,144.089,143.284,141.916,140.499,138.954,137.404,135.844,133.97899999999998,132.33,130.70600000000002,128.732,126.141,123.551,308.155,324.082,312.815,309.119,307.216,311.70799999999997,310.442,310.71299999999997,312.272,310.66,311.482,308.344,300.282,296.995,295.98,295.035,285.23400000000004,288.79,306.334,318.535,344.18199999999996,2065.797,1832.033,1862.386,1903.09,1960.852,1991.475,2032.092,2042.394,2042.433,2056.125,2118.7889999999998,2171.07,2080.991,2100.548,2138.716,2126.98,2155.155,2192.26,2181.976,2178.633,2164.833,2680.2209999999995,2586.791,2551.1710000000003,2519.43,2536.072,2569.685,2584.02,2619.427,2658.612,2658.284,2391.743,2301.603,2593.282,2677.651,2786.008,2949.0759999999996,2836.222,2562.73,3013.57,3119.813,3028.545,146.56999999999994,none
