Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
VS-34a_45.mat	"ikii"	151.893	521.815	170.407	126.358	187.981	183.183	199.751	170.434	451.051	373.873	325.778	749.959	419.424	387.502	1963.702	2071.247	2013.358	1935.490	1995.724	1806.286	2650.562	2756.968	2845.541	2642.915	2544.865	2462.229	
VS-34a_45.mat	"IH0"	151.893	256.718	145.191	131.799	89.326	118.201	197.815	188.191	358.539	357.416	376.481	382.012	375.293	304.049	2090.734	1890.387	2128.120	2162.068	2151.149	2130.621	2697.985	2986.213	2819.832	2531.383	2524.316	2606.818	
VS-34a_45.mat	"K"	256.718	397.388	184.910	184.315	187.204	181.615	181.615	226.581	589.206	305.196	374.248	999.050	657.478	605.958	1933.962	1948.013	1938.952	2005.559	1829.400	1946.627	2748.491	3017.391	2954.714	2802.642	2491.853	2479.757	
VS-34a_45.mat	"IY1"	397.388	521.815	182.479	213.584	186.667	174.481	171.315	165.799	371.655	326.975	370.732	385.232	396.342	381.094	1889.294	1999.976	2024.354	1968.988	1863.096	1593.806	2502.712	2554.985	2570.252	2581.549	2508.021	2303.862	
VS-35b_08.mat	"iki"	427.709	874.039	151.691	165.784	172.015	172.015	97.566	125.376	416.033	377.012	353.326	349.315	713.842	281.764	2117.459	2105.468	2200.828	2003.480	2068.907	2206.574	2997.287	2862.706	3127.807	3081.741	2938.721	2976.172	
VS-35b_08.mat	"IH0"	427.709	531.364	166.951	158.760	163.572	167.186	170.807	174.545	376.123	381.941	397.130	409.404	342.514	349.134	2122.697	2016.947	2069.459	2121.187	2183.178	2222.381	2837.581	2868.787	2941.207	2896.849	2783.136	2701.287	
VS-35b_08.mat	"K"	531.364	761.583	171.468	172.868	168.052	168.052	168.052	168.052	498.482	353.723	354.580	348.776	711.557	724.139	2090.288	2213.956	2181.318	2037.067	1923.425	2099.669	3060.949	3343.182	3173.724	3027.486	2850.093	2917.265	
VS-35b_08.mat	"IH0"	761.583	874.039	119.797	97.477	102.704	102.532	165.753	143.374	281.877	282.319	300.430	325.606	282.811	217.722	2164.833	2001.500	2170.540	2201.409	2249.223	2198.463	3010.987	3147.221	3342.563	3167.539	2836.625	2552.475	
VS-35b_16.mat	"iki"	1290.105	1683.223	128.674	151.671	147.646	147.646	89.793	101.583	586.799	324.552	463.273	1077.126	747.236	314.048	2108.989	2087.763	2081.836	2232.590	2000.805	2140.430	3019.917	2746.315	2987.154	3329.628	2842.841	3189.449	
VS-35b_16.mat	"IH0"	1290.105	1369.945	151.612	155.018	152.678	151.797	151.319	147.379	324.071	279.567	260.738	263.074	197.804	593.294	2086.404	2151.568	1998.119	2143.950	2015.057	2092.293	2744.984	2760.578	2542.108	2759.793	2617.579	3021.157	
VS-35b_16.mat	"K"	1369.945	1589.829	144.229	147.697	147.697	147.697	147.697	87.017	801.363	281.837	645.286	1091.503	1138.984	839.523	2116.880	1941.677	2150.058	2230.834	2205.404	2048.400	3074.697	2864.052	3085.941	3347.017	3078.656	2988.984	
