Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,dur,issue
VS-34a_45.mat,ikii,1,IH0,V1,ikiich,ikiich too xuriha,sil,K,104.82500000000002,151.893,256.718,145.191,131.799,89.32600000000001,118.20100000000001,197.815,188.19099999999997,358.539,357.416,376.481,382.01199999999994,375.293,304.04900000000004,2090.734,1890.3870000000002,2128.12,2162.0679999999998,2151.149,2130.621,2697.985,2986.2129999999997,2819.8320000000003,2531.383,2524.3160000000003,2606.8179999999998,104.82500000000002,none
VS-34a_45.mat,ikii,1,K,C,ikiich,ikiich too xuriha,IH0,IY1,140.67000000000002,256.718,397.38800000000003,184.91,184.315,187.204,181.615,181.615,226.581,589.206,305.19599999999997,374.24800000000005,999.05,657.4780000000001,605.9580000000001,1933.9620000000002,1948.013,1938.9520000000002,2005.559,1829.4,1946.6270000000002,2748.491,3017.3909999999996,2954.7140000000004,2802.6420000000003,2491.853,2479.757,140.67000000000002,none
VS-34a_45.mat,ikii,1,IY1,V2,ikiich,ikiich too xuriha,K,CH,124.42700000000002,397.38800000000003,521.815,182.479,213.584,186.667,174.481,171.315,165.799,371.655,326.975,370.73199999999997,385.23199999999997,396.342,381.094,1889.2939999999999,1999.976,2024.354,1968.9879999999998,1863.096,1593.806,2502.712,2554.985,2570.252,2581.549,2508.021,2303.862,124.42700000000002,none
VS-35b_08.mat,iki,2,IH0,V1,nayikiha,ta nayikiha,Y,K,103.65500000000003,427.709,531.364,166.951,158.76,163.572,167.18599999999998,170.80700000000002,174.545,376.12300000000005,381.941,397.13,409.404,342.514,349.134,2122.697,2016.9470000000001,2069.459,2121.187,2183.178,2222.381,2837.5809999999997,2868.7870000000003,2941.2070000000003,2896.849,2783.136,2701.2870000000003,103.65500000000003,none
VS-35b_08.mat,iki,2,K,C,nayikiha,ta nayikiha,IH0,IH0,230.21900000000005,531.364,761.5830000000001,171.468,172.868,168.05200000000002,168.05200000000002,168.05200000000002,168.05200000000002,498.48199999999997,353.723,354.58,348.776,711.557,724.1389999999999,2090.288,2213.956,2181.3179999999998,2037.067,1923.425,2099.669,3060.949,3343.1820000000002,3173.724,3027.486,2850.093,2917.265,230.21900000000005,none
VS-35b_08.mat,iki,2,IH0,V2,nayikiha,ta nayikiha,K,HH,112.4559999999999,761.5830000000001,874.039,119.79700000000001,97.477,102.704,102.53200000000001,165.753,143.374,281.877,282.319,300.43,325.606,282.811,217.722,2164.833,2001.5,2170.54,2201.409,2249.223,2198.4629999999997,3010.987,3147.2209999999995,3342.563,3167.539,2836.625,2552.475,112.4559999999999,none
VS-35b_16.mat,iki,3,IH0,V1,nayikiha,vura uum puxich ta nayikiha,Y,K,79.83999999999992,1290.105,1369.945,151.612,155.018,152.678,151.797,151.319,147.379,324.07099999999997,279.567,260.738,263.074,197.804,593.294,2086.404,2151.5679999999998,1998.119,2143.95,2015.057,2092.2929999999997,2744.9840000000004,2760.578,2542.1079999999997,2759.7929999999997,2617.5789999999997,3021.157,79.83999999999992,none
VS-35b_16.mat,iki,3,K,C,nayikiha,vura uum puxich ta nayikiha,IH0,IH0,219.88400000000001,1369.945,1589.829,144.22899999999998,147.697,147.697,147.697,147.697,87.01700000000001,801.363,281.837,645.286,1091.503,1138.984,839.523,2116.88,1941.6770000000001,2150.058,2230.834,2205.404,2048.4,3074.697,2864.052,3085.941,3347.0170000000003,3078.656,2988.9840000000004,219.88400000000001,none
VS-35b_16.mat,iki,3,IH0,V2,nayikiha,vura uum puxich ta nayikiha,K,HH,93.394,1589.829,1683.223,99.447,90.695,94.875,93.773,85.696,176.465,301.781,234.775,279.741,314.132,334.43699999999995,346.81800000000004,2105.306,2003.069,2130.09,2137.587,2088.529,2177.475,3120.942,2867.535,3197.9159999999997,3336.361,3057.973,3175.0359999999996,93.394,none
VS-35b_37.mat,iiki,4,IY1,V1,tukeevniikichha,tukeevniikichha,N,K,146.56999999999994,610.845,757.415,139.03799999999998,147.207,144.66899999999998,141.148,134.857,127.319,308.155,313.439,311.237,307.471,293.226,314.38,2065.797,1888.9620000000002,2026.828,2103.089,2130.0789999999997,2179.301,2680.2209999999995,2549.219,2607.376,2500.5460000000003,2812.215,2928.65,146.56999999999994,none
VS-35b_37.mat,iiki,4,K,C,tukeevniikichha,tukeevniikichha,IY1,IH0,132.13300000000004,757.415,889.548,116.415,116.855,115.48100000000001,115.48100000000001,115.48100000000001,115.48100000000001,471.36699999999996,297.652,311.435,431.95,669.905,635.575,1664.1429999999998,1395.8339999999998,1742.872,1638.0020000000002,1694.401,1850.3729999999998,2839.627,2519.736,3020.527,3120.3979999999997,2572.099,2989.9790000000003,132.13300000000004,none
VS-35b_37.mat,iiki,4,IH0,V2,tukeevniikichha,tukeevniikichha,K,CH,65.76999999999998,889.548,955.318,0.0,0.0,0.0,0.0,0.0,0.0,397.76599999999996,330.19,367.355,320.25,321.214,631.229,1876.5120000000002,1709.247,1995.269,1604.329,2004.07,2120.061,3014.907,2524.553,3446.3070000000002,2244.665,3281.2670000000003,3597.244,65.76999999999998,none
VS-37_16.mat,ikii,5,IH0,V1,pananikiit,pananikiit iin neepsharavrikeesh,N,K,59.632000000000005,318.592,378.224,202.143,200.572,202.956,204.419,202.87599999999998,200.173,285.70599999999996,287.441,322.127,316.116,269.725,239.34799999999998,2101.874,2056.771,2043.274,2067.821,2140.845,2192.3089999999997,2438.988,2437.544,2400.814,2448.455,2418.277,2483.7470000000003,59.632000000000005,none
VS-37_16.mat,ikii,5,K,C,pananikiit,pananikiit iin neepsharavrikeesh,IH0,IY1,138.825,378.224,517.049,199.201,194.708,204.356,204.356,201.386,201.386,555.72,310.482,267.282,340.392,1022.914,854.913,2075.397,1986.12,2009.3120000000001,1920.243,2270.917,2184.018,2763.275,2542.403,2501.396,2787.449,2978.23,3005.6890000000003,138.825,none
VS-37_16.mat,ikii,5,IY1,V2,pananikiit,pananikiit iin neepsharavrikeesh,K,T,129.69400000000007,517.049,646.743,172.97,203.947,171.935,163.44799999999998,163.918,163.458,329.18300000000005,286.068,338.491,345.254,343.51800000000003,334.04699999999997,2093.027,1953.852,2156.151,2194.893,2140.254,2024.9560000000001,2668.993,2730.4809999999998,2759.337,2772.7470000000003,2581.55,2468.659,129.69400000000007,none
