audio,transcription,transcription_mfa,speaker
BJ-AS-01_01,chimi nuchuupheesh ha.,chimi nuchuupheesh ha,BJ
BJ-AS-01_02,pay ikupaveenatih hum?,pay ikupaveenatih hum,BJ
BJ-AS-01_03,pay ikyaatih.,pay ikyaatih,BJ
BJ-AS-01_04,faat kunish ithitiv?,faat kunish ithitiv,BJ
BJ-AS-01_05,ni'aapunmutih haa.,niqaapunmutih haa,BJ
BJ-AS-01_06,naa karu vura uum ta nipipshinvarihva karu vura.,naa karu vura uum ta nipipshinvarihva karu vura,BJ
BJ-AS-01_07,kunchuuphitih puuhara,kunchuuphitih puuhara,BJ
BJ-AS-01_08,ni'aapunmutih.,niqaapunmutih,BJ
BJ-AS-01_09,huut kich iim?,huut kich iim,BJ
BJ-AS-01_10,naa vura uum yav.,naa vura uum yav,BJ
BJ-AS-01_11,naa vura uum yav karu vura,naa vura uum yav karu vura,BJ
BJ-AS-01_12,naa karu vura uum yav.,naa karu vura uum yav,BJ
BJ-AS-01_13,tee xuriha hum?,tee xuriha hum,BJ
BJ-AS-01_14,faat uum mithvuy?,faat uum mithvuy,BJ
BJ-AS-01_15,pufaat nanithvuy.,pufaat nanithvuy,BJ
BJ-AS-01_16,ta puna'aapunmutihara.,ta punaqaapunmutihara,BJ
BJ-AS-01_17,ta nipipshinvahrihva.,ta nipipshinvahrihva,BJ
BJ-AS-01_18,ta nupmah.,ta nupmah,BJ
BJ-AS-01_19,xas karu ta nupmah.,xas karu ta nupmah,BJ
BJ-AS-01_20,hooy ti'aramsiip hum?,hooy tiqaramsiip hum,BJ
BJ-AS-01_21,ta ni'aramsip panamniik.,ta niqaramsip panamniik,BJ
BJ-AS-01_22,huut kich pa'impaah?,huut kich paqimpaah,BJ
BJ-AS-01_23,huut kich pa'ishkeesh?,huut kich paqishkeesh,BJ
BJ-AS-01_24,vura uum yaamach pa'ishkeesh.,vura uum yaamach paqishkeesh,BJ
BJ-AS-01_25,pa'ishkeesh tu'uh.,paqishkeesh tuquh,BJ
BJ-AS-01_26,pa'ishkeesh tuvaxrah.,paqishkeesh tuvaxrah,BJ
BJ-AS-01_27,iikam tupathrih.,iikam tupathrih,BJ
BJ-AS-01_28,kunish too kyutinih iikam.,kunish too kyutinih iikam,BJ
BJ-AS-01_29,too kyutinih iikam.,too kyutinih iikam,BJ
BJ-AS-01_30,tupathrih karu vura iikam kunish karu vura.,tupathrih karu vura iikam kunish karu vura,BJ
BJ-AS-01_31,iikam vura uum imchax,iikam vura uum imchax,BJ
BJ-AS-01_32,vura uum imchax.,vura uum imchax,BJ
BJ-AS-01_33,athiik iikam.,athiik iikam,BJ
BJ-AS-01_34,tu'ahoo.,tuqahoo,BJ
BJ-AS-01_35,too pvaaram.,too pvaaram,BJ
BJ-AS-01_36,too pvaaram.,too pvaaram,BJ
BJ-AS-01_37,yitha naniyupsitanach.,yitha naniyupsitanach,BJ
BJ-AS-01_38,naniyeenipaxvuhich karu vura ook.,naniyeenipaxvuhich karu vura ook,BJ
BJ-AS-01_39,nanikiit huut kich?,nanikiit huut kich,BJ
BJ-AS-01_40,nimuustih payeenipaxvuhichas.,nimuustih payeenipaxvuhichas,BJ
BJ-AS-01_41,cheemyaach!,cheemyaach,BJ
karuk-2013-06-05-ct-4_01,ha'ii!,haqii,CT
karuk-2013-06-05-ct-4_02,hooy ti'aramsiiprin?,hooy tiqaramsiiprin,CT
karuk-2013-06-05-ct-4_03,panamniik ni'aramsiiprintih.,panamniik niqaramsiiprintih,CT
karuk-2013-06-05-ct-4_04,huut kich pa'ishkeesh?,huut kich paqishkeesh,CT
karuk-2013-06-05-ct-4_05a,yav.,yav,CT
karuk-2013-06-05-ct-4_05b,vura yaamach.,vura yaamach,CT
karuk-2013-06-05-ct-4_05c,paykich.,paykich,CT
