audio,transcription,Unnamed: 2,extra,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
BJ-AS-01_01,chimi nuchuupheesh ha.,,,,,,
BJ-AS-01_02,pay ikupaveenatih hum?,,,,,,
BJ-AS-01_03,pay ikyaatih.,,,,,,
BJ-AS-01_04,faat kunish ithitiv?,,,,,,
BJ-AS-01_05,ni'aapunmutih haa.,,,,,,
BJ-AS-01_06,naa karu vura uum ta nipipshinvarihva karu vura.,,,,,,
BJ-AS-01_07,kunchuuphitih puuhara,,,,,,
BJ-AS-01_08,ni'aapunmutih.,,,,,,
BJ-AS-01_09,huut kich iim?,,,,,,
BJ-AS-01_10,naa vura uum yav.,,,,,,
BJ-AS-01_11,naa vura uum yav karu vura,,,,,,
BJ-AS-01_12,naa karu vura uum yav.,,,,,,
BJ-AS-01_13,tee xuriha hum?,,,,,,
BJ-AS-01_14,faat uum mithvuy?,,,,,,
BJ-AS-01_15,pufaat nanithvuy.,,,,,,
BJ-AS-01_16,ta puna'aapunmutihara.,,,,,,
BJ-AS-01_17,ta nipipshinvahrihva.,,,,,,
BJ-AS-01_18,ta nupmah.,,,,,,
BJ-AS-01_19,xas karu ta nupmah.,,,,,,
BJ-AS-01_20,hooy ti'aramsiip hum?,,,,,,
BJ-AS-01_21,ta ni'aramsip panamniik.,,,,,,
BJ-AS-01_22,huut kich pa'impaah?,,,,,,
BJ-AS-01_23,huut kich pa'ishkeesh?,,,,,,
BJ-AS-01_24,vura uum yaamach pa'ishkeesh.,,,,,,
BJ-AS-01_25,pa'ishkeesh tu'uh.,,,,,,
BJ-AS-01_26,pa'ishkeesh tuvaxrah.,,,,,,
BJ-AS-01_27,iikam tupathrih.,,,,,,
BJ-AS-01_28,kunish too kyutinih iikam.,,,,,,
BJ-AS-01_29,too kyutinih iikam.,,,,,,
BJ-AS-01_30,tupathrih karu vura iikam kunish karu vura.,,,,,,
BJ-AS-01_31,iikam vura uum imchax,,,,,,
BJ-AS-01_32,vura uum imchax.,,,,,,
BJ-AS-01_33,athiik iikam.,,,,,,
BJ-AS-01_34,tu'ahoo.,,,,,,
BJ-AS-01_35,too pvaaram.,,,,,,
BJ-AS-01_36,too pvaaram.,,,,,,
BJ-AS-01_37,yitha naniyupsitanach.,,,,,,
BJ-AS-01_38,naniyeenipaxvuhich karu vura ook.,,,,,,
BJ-AS-01_39,nanikiit huut kich?,,,,,,
BJ-AS-01_40,nimuustih payeenipaxvuhichas.,,,,,,
BJ-AS-01_41,cheemyaach!,,,,,,
karuk-2013-06-05-ct-4_01,ha'ii!,,,,,,
karuk-2013-06-05-ct-4_02,hooy ti'aramsiiprin?,,,,,,
karuk-2013-06-05-ct-4_03,panamniik ni'aramsiiprintih.,,,,,,
karuk-2013-06-05-ct-4_04,huut kich pa'ishkeesh?,,,,,,
karuk-2013-06-05-ct-4_05a,yav.,,,,,,
karuk-2013-06-05-ct-4_05b,vura yaamach.,,,,,,
karuk-2013-06-05-ct-4_05c,paykich.,,,,,,
karuk-2013-06-05-ct-4_06,pa'ishkeesh yav umusahitih.,,,,,,
karuk-2013-06-05-ct-4_07,faat ikyaatih?,,,,,,
karuk-2013-06-05-ct-4_08,purafaat neekyaatihara.,,,,,,
karuk-2013-06-05-ct-4_09,vura purafaat neekyaatihara.,,,,,,
karuk-2013-06-05-ct-4_10a,,,,,,,
karuk-2013-06-05-ct-4_10b,akaay uum mi'araar?,,,,,,
