audio,transcription,transcription_mfa
BJ-AS-01_01,chimi nuchuupheesh ha.,chimi nuchuupheesh ha
BJ-AS-01_02,pay ikupaveenatih hum?,pay ikupaveenatih hum
BJ-AS-01_03,pay ikyaatih.,pay ikyaatih
BJ-AS-01_04,faat kunish ithitiv?,faat kunish ithitiv
BJ-AS-01_05,ni'aapunmutih haa.,niqaapunmutih haa
BJ-AS-01_06,naa karu vura uum ta nipipshinvarihva karu vura.,naa karu vura uum ta nipipshinvarihva karu vura
BJ-AS-01_07,kunchuuphitih puuhara,kunchuuphitih puuhara
BJ-AS-01_08,ni'aapunmutih.,niqaapunmutih
BJ-AS-01_09,huut kich iim?,huut kich iim
BJ-AS-01_10,naa vura uum yav.,naa vura uum yav
BJ-AS-01_11,naa vura uum yav karu vura,naa vura uum yav karu vura
BJ-AS-01_12,naa karu vura uum yav.,naa karu vura uum yav
BJ-AS-01_13,tee xuriha hum?,tee xuriha hum
BJ-AS-01_14,faat uum mithvuy?,faat uum mithvuy
BJ-AS-01_15,pufaat nanithvuy.,pufaat nanithvuy
BJ-AS-01_16,ta puna'aapunmutihara.,ta punaqaapunmutihara
BJ-AS-01_17,ta nipipshinvahrihva.,ta nipipshinvahrihva
BJ-AS-01_18,ta nupmah.,ta nupmah
BJ-AS-01_19,xas karu ta nupmah.,xas karu ta nupmah
BJ-AS-01_20,hooy ti'aramsiip hum?,hooy tiqaramsiip hum
BJ-AS-01_21,ta ni'aramsip panamniik.,ta niqaramsip panamniik
BJ-AS-01_22,huut kich pa'impaah?,huut kich paqimpaah
BJ-AS-01_23,huut kich pa'ishkeesh?,huut kich paqishkeesh
BJ-AS-01_24,vura uum yaamach pa'ishkeesh.,vura uum yaamach paqishkeesh
BJ-AS-01_25,pa'ishkeesh tu'uh.,paqishkeesh tuquh
BJ-AS-01_26,pa'ishkeesh tuvaxrah.,paqishkeesh tuvaxrah
BJ-AS-01_27,iikam tupathrih.,iikam tupathrih
BJ-AS-01_28,kunish too kyutinih iikam.,kunish too kyutinih iikam
BJ-AS-01_29,too kyutinih iikam.,too kyutinih iikam
BJ-AS-01_30,tupathrih karu vura iikam kunish karu vura.,tupathrih karu vura iikam kunish karu vura
BJ-AS-01_31,iikam vura uum imchax,iikam vura uum imchax
BJ-AS-01_32,vura uum imchax.,vura uum imchax
BJ-AS-01_33,athiik iikam.,athiik iikam
BJ-AS-01_34,tu'ahoo.,tuqahoo
BJ-AS-01_35,too pvaaram.,too pvaaram
BJ-AS-01_36,too pvaaram.,too pvaaram
BJ-AS-01_37,yitha naniyupsitanach.,yitha naniyupsitanach
BJ-AS-01_38,naniyeenipaxvuhich karu vura ook.,naniyeenipaxvuhich karu vura ook
BJ-AS-01_39,nanikiit huut kich?,nanikiit huut kich
BJ-AS-01_40,nimuustih payeenipaxvuhichas.,nimuustih payeenipaxvuhichas
BJ-AS-01_41,cheemyaach!,cheemyaach
karuk-2013-06-05-ct-4_01,ha'ii!,haqii
karuk-2013-06-05-ct-4_02,hooy ti'aramsiiprin?,hooy tiqaramsiiprin
karuk-2013-06-05-ct-4_03,panamniik ni'aramsiiprintih.,panamniik niqaramsiiprintih
karuk-2013-06-05-ct-4_04,huut kich pa'ishkeesh?,huut kich paqishkeesh
karuk-2013-06-05-ct-4_05a,yav.,yav
karuk-2013-06-05-ct-4_05b,vura yaamach.,vura yaamach
karuk-2013-06-05-ct-4_05c,paykich.,paykich
karuk-2013-06-05-ct-4_06,pa'ishkeesh yav umusahitih.,paqishkeesh yav umusahitih
karuk-2013-06-05-ct-4_07,faat ikyaatih?,faat ikyaatih
karuk-2013-06-05-ct-4_08,purafaat neekyaatihara.,purafaat neekyaatihara
