Filename,seq,seq_id,Label,part,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,before,after,word,issue,dur_mod,sentence
VS-24_01.mat,upi,1,UH0,V1,1580.5929999999996,1611.609,224.438,237.411,237.322,237.241,238.449,238.412,237.599,236.77,233.298,227.923,227.003,224.519,220.851,220.025,219.12,216.657,215.154,213.841,210.661,207.453,205.952,283.346,284.368,300.423,307.076,311.991,315.756,316.678,315.548,312.1,305.387,299.181,292.6,286.19,280.062,273.97700000000003,267.795,261.466,254.727,244.976,237.295,230.71,1012.492,1268.742,1244.813,1211.815,1167.421,1115.772,1064.654,1024.393,1002.492,985.011,974.914,964.045,952.202,939.818,928.099,918.54,910.68,905.29,902.242,904.342,912.44,2540.8,2578.488,2566.433,2549.713,2528.243,2509.878,2507.734,2515.499,2527.097,2539.982,2547.444,2553.41,2557.782,2555.498,2546.1420000000007,2532.263,2523.273,2527.553,2542.659,2552.2,2550.04,31.016000000000076,T,P,tupithxah,,31.016000000000076,vaa pananitaat uum tupithxah pananusaanva koovura vura
VS-24_01.mat,upi,1,P,C,1611.609,1744.693,192.081,196.793,188.236,183.929,185.525,187.016,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,235.557,579.418,228.785,244.285,231.912,247.949,656.8510000000001,535.596,499.151,752.888,784.038,735.2639999999999,794.497,922.65,1178.835,189.98,266.863,549.415,1101.678,655.105,571.97,270.759,1951.743,927.693,1016.982,2331.933,2076.224,2329.23,1693.602,2072.474,2327.652,2413.668,2476.401,2511.082000000001,2471.489,2487.189,1850.885,1819.271,2189.288,2184.917,1345.686,1284.04,1273.792,3147.036,2548.781,2722.234000000001,3411.468,3209.494,3091.322,2980.623,3300.54,3670.679,3500.156,3283.74,3124.003,3561.561,3644.833,2745.494,3034.437,3446.294000000001,3386.728,2879.13,2776.425,2616.878,133.08400000000006,UH0,IH0,tupithxah,,133.08400000000006,vaa pananitaat uum tupithxah pananusaanva koovura vura
VS-24_01.mat,upi,1,IH0,V2,1744.693,1800.6429999999998,218.728,236.794,241.047,239.734,233.067,227.201,220.904,218.256,215.974,214.407,213.525,213.192,212.997,212.583,212.265,211.892,211.442,211.081,210.596,209.871,208.463,357.316,291.983,301.376,321.051,347.026,374.351,392.914,403.947,410.065,410.136,406.457,402.49,397.086,385.574,367.385,345.333,327.469,316.006,312.9790000000001,317.716,325.829,1488.0279999999998,1078.62,1108.651,1161.179,1203.853,1259.781,1326.905,1402.18,1482.727,1549.1129999999996,1608.0479999999998,1655.197,1686.763,1688.946,1660.713,1621.017,1593.626,1595.004,1610.412,1619.219,1752.9260000000004,2395.758,2394.369,2371.934,2376.019,2377.387,2370.764,2365.69,2363.814,2366.73,2379.774,2408.738,2443.2,2468.156,2466.672,2442.347,2416.4120000000007,2388.002,2357.851,2366.013,2412.5660000000007,2386.311,55.94999999999982,P,TH,tupithxah,,55.94999999999982,vaa pananitaat uum tupithxah pananusaanva koovura vura
VS-24_02.mat,upi,2,UH0,V1,1752.142,1793.756,150.644,157.313,156.85299999999995,156.654,156.227,155.291,153.933,152.06,151.61700000000005,151.188,151.34,150.934,150.118,147.988,146.638,146.328,146.49,147.15,146.482,144.582,143.231,339.6930000000001,363.301,367.135,374.446,378.061,371.557,359.098,353.793,357.732,364.279,365.364,360.157,350.765,340.249,330.46,320.713,310.9240000000001,301.99,295.271,284.773,262.92900000000003,1043.213,1077.175,1066.206,1058.218,1057.872,1061.146,1062.529,1058.422,1046.4260000000004,1033.874,1025.461,1019.615,1017.412,1018.883,1020.674,1021.203,1021.933,1024.394,1030.971,1045.116,1075.356,2709.353,2744.601,2733.8459999999995,2723.792,2721.224,2724.387,2720.619,2704.3540000000007,2679.422,2656.4790000000007,2643.6240000000007,2643.9040000000005,2662.55,2696.29,2715.655,2705.377,2686.5690000000004,2676.849,2694.853,2747.958,2853.4040000000005,41.61400000000003,AH0,P,upithxah,,41.61400000000003,pananitaat vura koovura upithxah
VS-24_02.mat,upi,2,P,C,1793.756,1986.253,149.007,143.102,141.93,152.847,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,197.139,694.2330000000002,210.253,308.455,363.879,361.658,333.306,595.169,994.033,949.365,363.031,382.013,569.8430000000002,1104.283,994.453,800.8710000000002,1150.093,846.835,1148.867,1217.322,667.7180000000002,535.534,1970.611,1202.841,1264.016,1197.138,1245.526,1276.643,1782.186,2314.551,2500.68,2011.639,2021.242,2154.238,2337.311,2363.73,2317.831,2446.097,2313.082000000001,2573.846,2451.725,1834.193,1846.77,3129.5890000000004,3057.586,2829.281,2748.64,2705.1420000000007,2692.504000000001,3030.7209999999995,3361.186,3665.064,3056.518,3475.594,3191.4440000000004,3220.532,3209.0959999999995,3531.663,3417.898,3347.081,3218.646,3360.23,2754.438,2801.231,192.49699999999984,UH0,IH0,upithxah,,192.49699999999984,pananitaat vura koovura upithxah
VS-24_02.mat,upi,2,IH0,V2,1986.253,2031.145,186.692,201.222,209.46400000000003,209.86900000000003,208.694,205.266,201.045,196.223,189.477,185.084,181.355,179.17,178.197,177.085,175.947,174.987,173.77900000000002,172.655,172.22400000000005,170.834,169.991,324.499,242.983,277.259,294.273,302.172,309.726,324.145,341.408,352.58,360.633,369.815,379.008,384.9,387.392,378.792,360.383,343.546,324.448,294.9770000000001,262.146,236.74400000000003,1642.566,1640.975,1556.339,1465.55,1424.823,1426.6529999999998,1463.715,1511.096,1563.6329999999996,1625.6270000000004,1673.559,1698.404,1713.996,1723.671,1729.826,1743.445,1768.271,1791.021,1784.9879999999996,1762.825,1752.167,2450.443,2528.235,2475.996,2423.149,2386.639,2358.438,2332.688,2313.208,2307.884,2321.863,2357.841,2403.467,2464.561,2540.3520000000008,2596.061,2586.861,2543.659,2499.771,2483.138,2503.188,2535.705,44.892000000000046,P,TH,upithxah,,44.892000000000046,pananitaat vura koovura upithxah
VS-24_03.mat,upi,3,UH0,V1,341.208,376.095,193.141,204.039,204.256,204.651,204.018,203.558,198.805,196.052,194.62,193.128,191.691,190.819,190.131,189.323,188.688,188.33900000000003,188.038,187.247,186.011,185.304,184.635,263.274,1005.082,175.24599999999995,209.623,211.017,208.687,205.271,202.654,200.289,197.435,194.945,193.396,192.331,191.647,192.062,193.021,194.401,196.213,196.195,192.176,169.653,1883.253,2608.674,1655.0,1719.445,1737.746,1743.458,1722.04,1688.138,1664.263,1655.629,1685.366,1743.599,1851.033,2006.835,2066.906,2030.342,1952.689,1876.176,1857.72,1871.183,1899.617,2999.002,3415.627,3142.406,3148.67,3112.653,2933.141,2721.991,2669.547,2705.61,2779.558,2838.2,2858.636,2858.271,2879.28,2986.9640000000004,3086.388,3111.933,3079.987,3053.917,3075.485,3196.171,34.887,T,P,tupithxah,,34.887,tupithxah pakoovura pananusaanva koovura
VS-24_03.mat,upi,3,P,C,376.095,480.662,200.74,183.09,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,182.286,221.921,1268.576,1449.65,1507.556,1457.052,1375.4589999999996,1233.744,1211.744,1321.412,1332.085,1283.207,1315.576,1389.999,1601.236,1651.692,1398.9620000000002,1201.259,1226.631,1270.024,1359.256,617.039,300.072,2377.378,2974.663,2137.87,2438.473,2389.786,2332.728,2358.363,2355.337,2395.829,2348.271,2347.408,2306.0170000000007,2404.786,3066.492,2889.457000000001,2466.003,2278.266,2371.195,2581.025,1866.237,1478.052,3430.72,3798.111,3482.451,3499.171,3584.722,3581.768,3489.228,3506.746,3504.336,3412.891,3352.715,3392.531,3359.269,3832.867,3514.282,3314.9640000000004,3377.621,3608.745,3924.411,3048.411,2392.077,104.56699999999996,UH0,IH0,tupithxah,,104.56699999999996,tupithxah pakoovura pananusaanva koovura
VS-24_03.mat,upi,3,IH0,V2,480.662,540.293,182.30900000000003,238.057,218.307,204.422,193.614,188.706,185.447,182.918,180.764,179.581,178.37400000000005,176.613,174.90400000000002,173.123,171.43599999999995,169.55700000000004,167.763,166.074,164.903,164.50799999999995,164.892,378.58,346.436,369.903,381.339,384.86,385.193,384.05,382.11800000000005,381.143,381.352,381.962,381.021,376.889,372.758,372.025,372.07,372.819,378.482,388.572,396.286,389.74300000000005,1732.302,1414.4489999999996,1481.979,1581.6329999999996,1660.063,1715.185,1750.454,1766.307,1773.364,1781.328,1796.999,1820.443,1837.508,1847.103,1852.248,1836.257,1779.125,1710.1129999999996,1711.692,1802.526,1792.704,2267.592,2211.205,2218.885,2237.104,2246.849,2257.611,2276.078,2299.06,2321.275,2334.52,2340.969,2339.8920000000007,2327.808,2312.809,2306.514,2291.475,2228.282,2154.59,2127.362,2182.79,2345.495,59.63100000000003,P,TH,tupithxah,,59.63100000000003,tupithxah pakoovura pananusaanva koovura
VS-24_05.mat,upi,4,UH0,V1,882.0160000000002,911.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.6989999999996,769.9110000000002,1645.5839999999996,1638.138,1619.491,1590.746,1541.669,1476.15,1399.763,1340.43,1321.076,1317.376,1316.448,1310.355,1295.667,1278.308,1264.964,1259.057,1267.526,1287.066,1323.886,2404.482,1961.974,2562.098,2538.98,2519.0370000000007,2496.297,2460.697,2423.899,2410.706,2424.3160000000007,2459.652,2489.094,2494.799,2486.345,2470.144,2456.166,2447.02,2437.81,2421.633,2396.446,2351.738,3572.565,3056.06,3747.287,3748.014,3741.787,3733.916,3726.98,3718.896,3704.704,3682.818,3645.615,3608.007,3586.822,3575.445,3571.483,3569.9790000000007,3570.377,3570.684,3565.641,3548.51,3497.3459999999995,29.80599999999993,T,P,tupithxah,V1 voiceless,29.80599999999993,vaa kaan tupithxah
